rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,1,9,"8255705"
2,"spotify:track:22bl3LPkCHQSBhCAdw8Jwk","Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF","Famoso Ímã | O poderoso chatão","GRINGOS WORLD PRODUTORA",2,3,4,"7876610"
3,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,4,30,"6365491"
4,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,6,18,"5639449"
5,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,5,12,"5565648"
6,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,4,"5549663"
7,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,7,17,"5257564"
8,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,8,30,"4995010"
9,"spotify:track:4tP2kbroBcBmYk4IhbYwu5","MC Meno K, Dj Yuri Pedrada","Bola Uma Vela (Trava Chip)","WM Brazil",9,10,5,"4962121"
10,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",6,9,23,"4554219"
11,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,12,35,"4240340"
12,"spotify:track:3LZcSnTOCRalXwMXvkZnLZ","Murilo Huff","Saudade Estranha - Du Nada - Ao Vivo","M Show",12,16,7,"4129710"
13,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,11,50,"3908609"
14,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,15,34,"3747402"
15,"spotify:track:1yJYseCZJYRHZkl1DJ3tLs","Mayke & Rodrigo, Panda","Bebe, Beija e Trai - Ao Vivo","WM Brazil",15,21,19,"3702699"
16,"spotify:track:4ukpXdplqDEMk3Fy2i30oI","MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G","WM Brazil",2,19,29,"3699163"
17,"spotify:track:1lokGTw8YKDexcSPtQ8AQ3","MC Meno K, Oruam, Fepache","Lembrei de Tu","WM Brazil",14,18,9,"3697987"
18,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",14,14,22,"3678497"
19,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",1,24,75,"3578402"
20,"spotify:track:0vKdIvvXWdvaQ2qPVchDWB","Gusttavo Lima","Assunto Que Dói","Sony Music Entertainment",13,31,6,"3418043"
21,"spotify:track:588PdhJdtsuypJdUb4ms4K","Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S","PEGA A MALDADE DA BANDIDA","DJ LUAN GOMES - W&S Music",14,28,11,"3329055"
22,"spotify:track:7dNXSf4lS30n1lBfFavQK5","Felipe e Rodrigo","Ignora (Ao Vivo)","MK Records",17,20,19,"3307755"
23,"spotify:track:7CBWajKPyBA0GFtxmTzLBV","Anitta, Shakira","Choka Choka","Anitta",23,-1,1,"3304739"
24,"spotify:track:4rvk9VCJDbB4oSQJATrces","Ferrugem","Arrependidaço (Onde Você Anda)","WM Brazil",24,26,6,"3292590"
25,"spotify:track:1JZDwJgE9VSC0V2GR66z63","DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam","SET DO JAPA NK 2.0","Bololo Records",5,25,21,"3248414"
26,"spotify:track:1tmD4Xpd1YNSGCG5AYqHDk","Henrique & Juliano","Última Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,17,81,"3216305"
27,"spotify:track:3jhyw60F61gc7nC4dblqtC","PEDRO SAMPAIO, MC Meno K, Melody","JETSKI","Sony Music Entertainment",1,13,17,"3206935"
28,"spotify:track:0HixceBFegrCY3GFBB7SlQ","Mari Fernandez, Grelo, Natanzinho Lima","Saudade do Carai","Som Livre",18,32,21,"3195088"
29,"spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ","Grupo Menos É Mais, NATTAN","Pela Última Vez - Ao Vivo","Som Livre",3,23,34,"3140866"
30,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",30,30,192,"3082934"
31,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,29,4,"3002765"
32,"spotify:track:1CqUGmt2Cyn2vvvAyQKJZQ","Danilo e Davi","Não Mexe nas Minhas Gavetas - Ao Vivo","Som Livre",25,33,11,"2997834"
33,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",6,22,4,"2973636"
34,"spotify:track:25CffgwZg6vlUdCsHJijZo","Panda, Ícaro e Gilmar, MJ Records","Baqueado - Ao Vivo","MJ Records.",9,35,56,"2953864"
35,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",34,34,8,"2950140"
36,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",16,27,4,"2901700"
