rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,1,11,"7577335"
2,"spotify:track:22bl3LPkCHQSBhCAdw8Jwk","Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF","Famoso Ímã | O poderoso chatão","GRINGOS WORLD PRODUTORA",2,2,6,"6523345"
3,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,3,32,"5898536"
4,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",4,12,25,"5033102"
5,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,6,6,"5025321"
6,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,5,14,"4930005"
7,"spotify:track:3lJMJl6alsAqw5OiXOOdVi","Mc Livinho, Mc Pedrinho, Perera DJ, DJ JB Mix","Se Saudade Sentir (Se Prepara 3)","GR6 Music",7,39,3,"4772294"
8,"spotify:track:7gx504HCEsTgxmyPNov5Lh","Zé Neto & Cristiano","Cadeira Cativa - Ao Vivo","Som Livre",8,13,3,"4691344"
9,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,7,19,"4381730"
10,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,9,37,"4355201"
11,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,4,20,"4238588"
12,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,8,32,"4234991"
13,"spotify:track:4tP2kbroBcBmYk4IhbYwu5","MC Meno K, Dj Yuri Pedrada","Bola Uma Vela (Trava Chip)","WM Brazil",9,10,7,"3967009"
14,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",14,17,24,"3893416"
15,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,11,52,"3867935"
16,"spotify:track:3LZcSnTOCRalXwMXvkZnLZ","Murilo Huff","Saudade Estranha - Du Nada - Ao Vivo","M Show",12,14,9,"3837662"
17,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",1,15,77,"3594035"
18,"spotify:track:1yJYseCZJYRHZkl1DJ3tLs","Mayke & Rodrigo, Panda","Bebe, Beija e Trai - Ao Vivo","WM Brazil",15,18,21,"3546394"
19,"spotify:track:3JojUdNlifAfB5J9dLvJ9H","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,25,63,"3533044"
20,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,16,36,"3478287"
