rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,-1,1,"8540097"
2,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,1,6,"7590785"
3,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,2,27,"6498855"
4,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,5,14,"5723410"
5,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,3,27,"5697289"
6,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",6,-1,1,"5693313"
7,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,4,9,"5321590"
8,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,-1,1,"5250004"
9,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",6,7,20,"5153908"
10,"spotify:track:3jhyw60F61gc7nC4dblqtC","PEDRO SAMPAIO, MC Meno K, Melody","JETSKI","Sony Music Entertainment",1,6,14,"5005005"
11,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,9,32,"4590977"
12,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,8,15,"4560283"
13,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",13,-1,1,"4494844"
14,"spotify:track:5tg21NdePCn5m8F9BXOEeJ","BTS","Aliens","BIGHIT MUSIC",14,-1,1,"4463679"
15,"spotify:track:4B4Q7zfd0aHcuhQBfCRnH5","BTS","NORMAL","BIGHIT MUSIC",15,-1,1,"4397455"
16,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",16,-1,1,"4385076"
17,"spotify:track:2IFND3phjzIG1RcPnHh2hP","BTS","Like Animals","BIGHIT MUSIC",17,-1,1,"4311877"
18,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,10,47,"4298304"
19,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",19,-1,1,"4177425"
20,"spotify:track:3VegC0PZiHjGxb80DER8XU","BTS","Merry Go Round","BIGHIT MUSIC",20,-1,1,"4038654"
21,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,11,31,"4015932"
22,"spotify:track:4ukpXdplqDEMk3Fy2i30oI","MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G","WM Brazil",2,12,26,"3929170"
23,"spotify:track:1JZDwJgE9VSC0V2GR66z63","DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam","SET DO JAPA NK 2.0","Bololo Records",5,14,18,"3901527"
24,"spotify:track:6tUdNbB9aYbX0sUDXOzX1u","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,16,58,"3821343"
25,"spotify:track:0vKdIvvXWdvaQ2qPVchDWB","Gusttavo Lima","Assunto Que Dói","Sony Music Entertainment",13,13,3,"3789483"
26,"spotify:track:0dI5yI0wplyuwBMEGKXeJC","Felipe e Rodrigo","Ignora (Ao Vivo)","MK Records",17,17,16,"3711883"
27,"spotify:track:6s3w7SUVtmm68Bw5KrKMh0","BTS","One More Night","BIGHIT MUSIC",27,-1,1,"3675202"
28,"spotify:track:4y93vvzu2h8MITw7YyUTcI","Henrique & Juliano","Última Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,20,78,"3649666"
29,"spotify:track:588PdhJdtsuypJdUb4ms4K","Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S","PEGA A MALDADE DA BANDIDA","DJ LUAN GOMES - W&S Music",14,15,8,"3631340"
30,"spotify:track:1XpVhaI4HzWrhRWIpdfyJB","BTS","Please","BIGHIT MUSIC",30,-1,1,"3561951"
31,"spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ","Grupo Menos É Mais, NATTAN","Pela Última Vez - Ao Vivo","Som Livre",3,19,31,"3545362"
32,"spotify:track:020De83tFmcTrgEpzdUCNS","Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR","Vai Tomando Pock Pock","GRINGOS WORLD PRODUTORA",13,18,25,"3519828"
33,"spotify:track:3plyGpDgzfrnZbpElpfioV","BTS","No. 29","BIGHIT MUSIC",33,-1,1,"3465562"
34,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",23,23,19,"3441168"
35,"spotify:track:1yJYseCZJYRHZkl1DJ3tLs","Mayke & Rodrigo, Panda","Bebe, Beija e Trai - Ao Vivo","WM Brazil",20,22,16,"3434878"
36,"spotify:track:1ZNolq7VI7efGlh2hb2VVr","BTS","Into the Sun","BIGHIT MUSIC",36,-1,1,"3393211"
37,"spotify:track:3LZcSnTOCRalXwMXvkZnLZ","Murilo Huff","Saudade Estranha - Du Nada - Ao Vivo","M Show",24,24,4,"3219237"
38,"spotify:track:4rvk9VCJDbB4oSQJATrces","Ferrugem","Arrependidaço (Onde Você Anda)","WM Brazil",38,43,3,"3148749"
39,"spotify:track:1JUmsSEfVwhdJCVBG83XGU","PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito","SEQUÊNCIA FEITICEIRA","WM Brazil",2,21,30,"3119408"
40,"spotify:track:4tP2kbroBcBmYk4IhbYwu5","MC Meno K, Dj Yuri Pedrada","Bola Uma Vela (Trava Chip)","WM Brazil",40,48,2,"3108703"
41,"spotify:track:5jXXQY6LLlEtEWMDL6XcaP","Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, MC Ryan SP, Mc Negão Original","Chatão","GRINGOS WORLD PRODUTORA",29,30,15,"3106670"
42,"spotify:track:25CffgwZg6vlUdCsHJijZo","Panda, Ícaro e Gilmar, MJ Records","Baqueado - Ao Vivo","MJ Records.",9,29,53,"3079759"
43,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",34,34,189,"3014793"
44,"spotify:track:5puMdJT0vTBEnn0k0Cnah4","Filho do Piseiro","Raparigas","Elite Music",26,26,7,"3008970"
45,"spotify:track:1N19UVD4GRBFT6UrDaX6rk","Turma do Pagode, Grupo Menos É Mais","Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)","Sony Music Entertainment",15,25,87,"3000655"
46,"spotify:track:1I6TdHxz61Kf9EFje0dQvg","Luan Santana","OLHO MARROM - Ao Vivo em Lisboa","Sony Music Entertainment",25,28,26,"2970608"
47,"spotify:track:48SYVECjCIwWWsqogDHWVF","Luan Pereira, Panda","10 SEGUNDOS","Som Livre",25,31,4,"2963376"
48,"spotify:track:1CqUGmt2Cyn2vvvAyQKJZQ","Danilo e Davi","Não Mexe nas Minhas Gavetas - Ao Vivo","Som Livre",25,27,8,"2926594"
49,"spotify:track:1lokGTw8YKDexcSPtQ8AQ3","MC Meno K, Oruam, Fepache","Lembrei de Tu","WM Brazil",14,33,6,"2841529"
50,"spotify:track:0HixceBFegrCY3GFBB7SlQ","Mari Fernandez, Grelo, Natanzinho Lima","Saudade do Carai","Som Livre",18,44,18,"2667565"
51,"spotify:track:7G8V8LiyyqwzSlsQLiaitN","Mc Lele JP, DJ Guh Mix","Toma Gostosona","Cria Hit BR",23,35,21,"2657738"
