rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,1,10,"7956551"
2,"spotify:track:22bl3LPkCHQSBhCAdw8Jwk","Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF","Famoso Ímã | O poderoso chatão","GRINGOS WORLD PRODUTORA",2,2,5,"7240689"
3,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,3,31,"6871842"
4,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,4,19,"5273547"
5,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,5,13,"5226947"
6,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,6,5,"5215240"
7,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,7,18,"4920411"
8,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,8,31,"4859050"
9,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,11,36,"4743867"
10,"spotify:track:4tP2kbroBcBmYk4IhbYwu5","MC Meno K, Dj Yuri Pedrada","Bola Uma Vela (Trava Chip)","WM Brazil",9,9,6,"4561775"
11,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,13,51,"4534100"
12,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",6,10,24,"4373725"
13,"spotify:track:7gx504HCEsTgxmyPNov5Lh","Zé Neto & Cristiano","Cadeira Cativa - Ao Vivo","Som Livre",13,38,2,"4337672"
14,"spotify:track:3LZcSnTOCRalXwMXvkZnLZ","Murilo Huff","Saudade Estranha - Du Nada - Ao Vivo","M Show",12,12,8,"4318302"
15,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",1,19,76,"4006445"
16,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,14,35,"3965756"
17,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",14,18,23,"3886636"
18,"spotify:track:1yJYseCZJYRHZkl1DJ3tLs","Mayke & Rodrigo, Panda","Bebe, Beija e Trai - Ao Vivo","WM Brazil",15,15,20,"3819983"
19,"spotify:track:1tmD4Xpd1YNSGCG5AYqHDk","Henrique & Juliano","Última Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,26,82,"3816498"
20,"spotify:track:0vKdIvvXWdvaQ2qPVchDWB","Gusttavo Lima","Assunto Que Dói","Sony Music Entertainment",13,20,7,"3793276"
21,"spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ","Grupo Menos É Mais, NATTAN","Pela Última Vez - Ao Vivo","Som Livre",3,29,35,"3619152"
22,"spotify:track:4rvk9VCJDbB4oSQJATrces","Ferrugem","Arrependidaço (Onde Você Anda)","WM Brazil",22,24,7,"3566868"
23,"spotify:track:4ukpXdplqDEMk3Fy2i30oI","MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G","WM Brazil",2,16,30,"3449877"
24,"spotify:track:7dNXSf4lS30n1lBfFavQK5","Felipe e Rodrigo","Ignora (Ao Vivo)","MK Records",17,22,20,"3377404"
25,"spotify:track:3JojUdNlifAfB5J9dLvJ9H","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,39,62,"3313250"
26,"spotify:track:0HixceBFegrCY3GFBB7SlQ","Mari Fernandez, Grelo, Natanzinho Lima","Saudade do Carai","Som Livre",18,28,22,"3287793"
27,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",27,30,193,"3274846"
28,"spotify:track:1lokGTw8YKDexcSPtQ8AQ3","MC Meno K, Oruam, Fepache","Lembrei de Tu","WM Brazil",14,17,10,"3184612"
29,"spotify:track:25CffgwZg6vlUdCsHJijZo","Panda, Ícaro e Gilmar, MJ Records","Baqueado - Ao Vivo","MJ Records.",9,34,57,"3141016"
30,"spotify:track:1CqUGmt2Cyn2vvvAyQKJZQ","Danilo e Davi","Não Mexe nas Minhas Gavetas - Ao Vivo","Som Livre",25,32,12,"3125115"
31,"spotify:track:1JZDwJgE9VSC0V2GR66z63","DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam","SET DO JAPA NK 2.0","Bololo Records",5,25,22,"3091638"
32,"spotify:track:2NKgvPdAy8FUC5p1l0YnKg","Guilherme & Benuto, Panda","Eu Duvido - Ao Vivo","Sony Music Entertainment",32,51,4,"3043079"
