rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,2,8,"8343151"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,1,3,"6342114"
3,"spotify:track:22bl3LPkCHQSBhCAdw8Jwk","Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF","Famoso Ímã | O poderoso chatão","GRINGOS WORLD PRODUTORA",3,31,3,"6087642"
4,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,6,29,"5404112"
5,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,3,11,"5386389"
6,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,8,17,"5335430"
7,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,4,16,"5266244"
8,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,5,29,"5001133"
9,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",6,7,22,"4547542"
10,"spotify:track:4tP2kbroBcBmYk4IhbYwu5","MC Meno K, Dj Yuri Pedrada","Bola Uma Vela (Trava Chip)","WM Brazil",10,27,4,"4213208"
11,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,12,49,"4185686"
12,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,10,34,"4174088"
13,"spotify:track:3jhyw60F61gc7nC4dblqtC","PEDRO SAMPAIO, MC Meno K, Melody","JETSKI","Sony Music Entertainment",1,9,16,"4095333"
14,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",14,19,21,"4008712"
15,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,15,33,"3820782"
16,"spotify:track:3LZcSnTOCRalXwMXvkZnLZ","Murilo Huff","Saudade Estranha - Du Nada - Ao Vivo","M Show",16,35,6,"3701818"
17,"spotify:track:1tmD4Xpd1YNSGCG5AYqHDk","Henrique & Juliano","Última Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,16,80,"3673435"
18,"spotify:track:1lokGTw8YKDexcSPtQ8AQ3","MC Meno K, Oruam, Fepache","Lembrei de Tu","WM Brazil",14,33,8,"3665469"
19,"spotify:track:4ukpXdplqDEMk3Fy2i30oI","MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G","WM Brazil",2,13,28,"3616135"
20,"spotify:track:7dNXSf4lS30n1lBfFavQK5","Felipe e Rodrigo","Ignora (Ao Vivo)","MK Records",17,17,18,"3391184"
21,"spotify:track:1yJYseCZJYRHZkl1DJ3tLs","Mayke & Rodrigo, Panda","Bebe, Beija e Trai - Ao Vivo","WM Brazil",20,26,18,"3386621"
22,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",6,11,3,"3332977"
23,"spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ","Grupo Menos É Mais, NATTAN","Pela Última Vez - Ao Vivo","Som Livre",3,23,33,"3310907"
24,"spotify:track:17tg01y3RhlfRKMnd333yL","Danilo e Davi","Apaga Apaga Apaga - Ao Vivo","Som Livre",1,50,74,"3282722"
25,"spotify:track:1JZDwJgE9VSC0V2GR66z63","DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam","SET DO JAPA NK 2.0","Bololo Records",5,18,20,"3260696"
26,"spotify:track:4rvk9VCJDbB4oSQJATrces","Ferrugem","Arrependidaço (Onde Você Anda)","WM Brazil",26,37,5,"3216196"
27,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",16,21,3,"3194407"
28,"spotify:track:588PdhJdtsuypJdUb4ms4K","Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S","PEGA A MALDADE DA BANDIDA","DJ LUAN GOMES - W&S Music",14,24,10,"3186334"
29,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,14,3,"3160239"
30,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",30,36,191,"3133963"
31,"spotify:track:0vKdIvvXWdvaQ2qPVchDWB","Gusttavo Lima","Assunto Que Dói","Sony Music Entertainment",13,22,5,"3076034"
32,"spotify:track:0HixceBFegrCY3GFBB7SlQ","Mari Fernandez, Grelo, Natanzinho Lima","Saudade do Carai","Som Livre",18,39,20,"2972514"
33,"spotify:track:1CqUGmt2Cyn2vvvAyQKJZQ","Danilo e Davi","Não Mexe nas Minhas Gavetas - Ao Vivo","Som Livre",25,43,10,"2845765"
34,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",34,44,7,"2841765"
35,"spotify:track:25CffgwZg6vlUdCsHJijZo","Panda, Ícaro e Gilmar, MJ Records","Baqueado - Ao Vivo","MJ Records.",9,40,55,"2826659"
36,"spotify:track:7G8V8LiyyqwzSlsQLiaitN","Mc Lele JP, DJ Guh Mix","Toma Gostosona","Cria Hit BR",23,46,23,"2741617"
37,"spotify:track:1JUmsSEfVwhdJCVBG83XGU","PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito","SEQUÊNCIA FEITICEIRA","WM Brazil",2,41,32,"2692310"
38,"spotify:track:4B4Q7zfd0aHcuhQBfCRnH5","BTS","NORMAL","BIGHIT MUSIC",15,25,3,"2671677"
39,"spotify:track:5tg21NdePCn5m8F9BXOEeJ","BTS","Aliens","BIGHIT MUSIC",14,28,3,"2637902"
40,"spotify:track:3JojUdNlifAfB5J9dLvJ9H","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,20,60,"2622632"
41,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",19,32,3,"2616484"
42,"spotify:track:2IFND3phjzIG1RcPnHh2hP","BTS","Like Animals","BIGHIT MUSIC",17,30,3,"2598200"
43,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",13,29,3,"2593859"
44,"spotify:track:5puMdJT0vTBEnn0k0Cnah4","Filho do Piseiro","Raparigas","Elite Music",26,48,9,"2587697"
45,"spotify:track:48SYVECjCIwWWsqogDHWVF","Luan Pereira, Panda","10 SEGUNDOS","Som Livre",25,49,6,"2508671"
46,"spotify:track:3xgrWGYrqZVL7aAvZTm2MA","Henrique & Juliano","Saudade De Quem Eu Sou (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",11,52,56,"2418103"
47,"spotify:track:6Kyl2nFgU0J8WBlbBvDv6g","Grupo Menos É Mais","Coração Partido (Corazón Partío) - Ao Vivo","Som Livre",1,56,84,"2373075"
48,"spotify:track:1h0yBDChztCJRTqmI5U6ou","MORADA","É Tudo Sobre Você / Ser Mudado - Ao Vivo","Onimusic",46,68,57,"2370338"
49,"spotify:track:3VegC0PZiHjGxb80DER8XU","BTS","Merry Go Round","BIGHIT MUSIC",20,38,3,"2363427"
50,"spotify:track:2YKc5o2kQ6e1Pch1DwpjkO","Matheus & Kauan, Lauana Prado","Admita - Ao Vivo","Universal Music Ltda (S&D)",50,71,11,"2352506"
51,"spotify:track:3RDv5uDgHJS8wBdPkoCXUF","2ZDinizz, Leborato, HHR","Beatriz","HHR Records",51,64,13,"2337084"
52,"spotify:track:44CTudFZ0kbaIF9n0jk7oU","Matheus & Kauan, Ana Castela","Ilusão De Ótica - Ao Vivo","Universal Music Ltda (S&D)",11,57,63,"2326193"
53,"spotify:track:2a9WkloaIu64sryr4JTdTi","Panda, Gusttavo Lima, MJ Records","Calcinha de Renda - Ao Vivo","Sony Music Entertainment",11,60,19,"2320505"
54,"spotify:track:1I6TdHxz61Kf9EFje0dQvg","Luan Santana","OLHO MARROM - Ao Vivo em Lisboa","Sony Music Entertainment",25,54,28,"2320451"
55,"spotify:track:6omKlm9PHL3w95NzNtVDZd","MC Tuto, DJ Oreia","Faz Parte De Mim","Universal Music Ltda.",10,51,9,"2317331"
56,"spotify:track:5jP9oqulg2Dz6yLwLYj5KO","Henrique & Juliano","Seja Ex (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",20,58,80,"2251700"
57,"spotify:track:2ejSYn4SfoE07mXPlnYVED","Rafa e Junior, Hugo & Guilherme, DJ Ari SL","Ama Um Maloqueiro","Rafa e Junior",4,61,46,"2248139"
58,"spotify:track:1N19UVD4GRBFT6UrDaX6rk","Turma do Pagode, Grupo Menos É Mais","Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)","Sony Music Entertainment",15,42,89,"2227110"
59,"spotify:track:6s3w7SUVtmm68Bw5KrKMh0","BTS","One More Night","BIGHIT MUSIC",27,45,3,"2221648"
60,"spotify:track:1XpVhaI4HzWrhRWIpdfyJB","BTS","Please","BIGHIT MUSIC",30,47,3,"2183103"
61,"spotify:track:2NKgvPdAy8FUC5p1l0YnKg","Guilherme & Benuto, Panda","Eu Duvido - Ao Vivo","Sony Music Entertainment",61,80,2,"2173265"
62,"spotify:track:5L0d4gFfxGNITmevcFfHnA","NandaTsunami, Stick, Bvga Beatz, Torelli","P.I.T.T.Y. (Parecendo Uma Cafetina)","NandaTsunami",33,59,13,"2158135"
63,"spotify:track:035Q417M83JnP3wvSlyFEK","Julliany Souza","Quem É Esse? - Ao Vivo","Julliany Souza",53,83,56,"2145604"
64,"spotify:track:2WYuivMCuOQbxhaatuWUCN","Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR","Vai Tomando Pock Pock","GRINGOS WORLD PRODUTORA",13,34,27,"2107558"
65,"spotify:track:4f0aDk7HX37SfzerfznYlr","Grupo Menos É Mais, Matheus Fernandes","Lapada Dela - Ao Vivo","Som Livre",4,97,163,"2104688"
66,"spotify:track:1YyQcX3oM8YsMTKeYFpoKx","Clayton & Romário, Zé Neto & Cristiano","Não Namora - Ao Vivo","WM Brazil",56,62,5,"2104195"
67,"spotify:track:1ZNolq7VI7efGlh2hb2VVr","BTS","Into the Sun","BIGHIT MUSIC",36,53,3,"2102770"
68,"spotify:track:65vJAh07BdwurqR9SRa6f8","Ferrugem, Sorriso Maroto","Apaguei Pra Todos - Ao Vivo","WM Brazil",17,66,103,"2093189"
69,"spotify:track:6niGCULksHzD0NHyX3zCuB","Marília Mendonça","Foi por Conveniência","Som Livre",69,69,15,"2048962"
70,"spotify:track:3umoKiuIgHFDaboDpRn6BB","MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original","Semi Nua","Universal Music Ltda.",26,65,14,"2017722"
71,"spotify:track:3plyGpDgzfrnZbpElpfioV","BTS","No. 29","BIGHIT MUSIC",33,55,3,"2014351"
72,"spotify:track:2De1EHbIhepIVLHZ16bySE","Veigh, Supernova Ent","Talvez você precise de mim","Supernova Entertainment",17,67,41,"1956153"
73,"spotify:track:4mWvUyxAax81We11pYY4up","Mc Iguinho Ct, Mc Negão Original, Aaron Modesto, Mc Dena, MC GP, MC Ryan SP, MC Willian, DJ Guh Mix, DU'L, MC RN do Capão, Marquinho no Beat","Semi Nua 2","Universal Music Ltda.",49,72,5,"1915482"
74,"spotify:track:5oI9blwsXC8AkTWw6wASY8","Matuê","Máquina do Tempo","Sony Music Entertainment",2,76,133,"1877445"
75,"spotify:track:5Nj2UVsxXAvhfYNpcre3al","Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN","FAMOSINHA","BR MUSIC DIREITOS MUSICAIS LTDA.",1,79,47,"1872743"
76,"spotify:track:36HbKaih4chZlpK6C9HBBr","Vitor Santana","João 20 + pra Sempre - Ao Vivo","Vitor Santana",43,153,54,"1872141"
77,"spotify:track:0dNNhmOSnE6fOcXkNRO3uF","Simone Mendes","Direitos Iguais - Ao Vivo","Universal Music Ltda.",77,120,2,"1865534"
78,"spotify:track:5aMgTcyBPH90hWHhbNKTwR","Diego & Victor Hugo","Entregador de Flor - Ao Vivo em Brasília","Sony Music Entertainment",4,81,82,"1854316"
79,"spotify:track:6nNtdCNvY30m0PNejEIzdL","Fernando & Sorocaba, Hugo & Guilherme","Teus Segredos - Ao Vivo","F&S Producoes Artisticas",70,70,4,"1824601"
80,"spotify:track:7MgQdSpQLrrobRreaqSUzP","Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, MC Ryan SP, Mc Negão Original","Chatão","GRINGOS WORLD PRODUTORA",29,63,17,"1799818"
81,"spotify:track:79nMK3bCPAzKd70WiHCv5S","Lauana Prado, Murilo Huff","Pra Você Lembrar De Mim - Ao Vivo","Universal Music Ltda.",81,82,9,"1796758"
82,"spotify:track:2655xYZ347fG2N6OjkoMQ8","Jorge & Mateus","Logo Eu","Som Livre",65,73,76,"1794768"
83,"spotify:track:2KGv51jgAz8OTjNPyRryfq","Jorge & Mateus","Pra Sempre Com Você - Ao Vivo","Som Livre",35,74,74,"1792564"
84,"spotify:track:6IFF888dQ0P6ilbj4kL6G8","Grupo Menos É Mais","Aquele Lugar - Ao Vivo","Som Livre",15,78,60,"1778237"
85,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",52,75,21,"1738728"
86,"spotify:track:2rryVhIBu2bvOz96BjViVV","Panda, MJ Records","Corpo Nu - Ao Vivo","Sony Music Entertainment",73,77,4,"1704526"
87,"spotify:track:0qZwqMsGSClyrKzbVbRto9","Diego & Arnaldo, Zé Neto & Cristiano","Vai Cair Água - Ao Vivo","Som Livre",21,90,36,"1664134"
88,"spotify:track:4ksSf8cL3VlUvQSkFcRHy3","Henrique & Juliano","Até Você Voltar - Ao Vivo","Som Livre",88,-1,53,"1662802"
89,"spotify:track:7MnT7msJZg3XBAS0OTfGrB","Legião Urbana","Tempo Perdido","EMI Brazil",61,88,118,"1649388"
90,"spotify:track:34dG0eoSn6ixDyTyurb94X","Jorge & Mateus, Matheus & Kauan","Gaivota","Som Livre",51,86,9,"1627454"
91,"spotify:track:7nVZlsK0RkoUWM9aZh3NBl","Felipe e Rodrigo","Podcast (Ao Vivo)","MK Records",91,128,2,"1608223"
92,"spotify:track:7hgKeJgEQyjl6JcpudzvzU","BK, Kolo, Evinha","Cacos De Vidro (sample: Esperar pra Ver)","Gigantes",23,106,47,"1603082"
