rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
41,"spotify:track:2j7IPPMZt5nE5R4r2AbKZ8","Panda, Humberto & Ronaldo, Ícaro e Gilmar, MJ Records","12 Horas / Pra Você Acreditar - Ao Vivo","MJ Records.",18,38,43,"3019674"
42,"spotify:track:473DqaeIno75pBbp0bNrkT","Matheus Vargas, Cleber & Cauan","Desocupa","MV Produções Artisticas",24,37,16,"2990952"
43,"spotify:track:2GylVVMD21R4SqgAt8gGC5","Felipe Amorim, Vitão, BIN, Malibu","Eu Vou na Sua Casa","One Play",2,36,32,"2939415"
44,"spotify:track:5k7JSycp97vL45zSOoUsTE","Henrique & Juliano","Seja Ex (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",20,40,70,"2838417"
45,"spotify:track:4QZqSqxdcgAbtZle4MS4ph","Gusttavo Lima","Retrovisor","Sony Music Entertainment",13,58,24,"2781222"
46,"spotify:track:1FoV9rUsKIecaQpSap2YLn","Guilherme & Benuto, Luan Santana","Quarto 67 - Ao Vivo","Sony Music Entertainment",45,45,19,"2743891"
47,"spotify:track:3p58wJmZqIc9RjsdeZ5Jfq","Mc Negão Original, MC Jvila, MC Willian, DJ Japa NK, MC Meno K, DJ Guh Mix","Vou pela Madrugada","Cria Hit BR",23,55,29,"2650215"
48,"spotify:track:2De1EHbIhepIVLHZ16bySE","Veigh, Supernova Ent","Talvez você precise de mim","Supernova Entertainment",17,50,31,"2641477"
49,"spotify:track:6zWfgvh1e1FCdtfUVj370i","Mc Jacaré, Mc Negão Original, Mc Lele JP, DJ Japa NK","Carnívoro","Croco Hits",49,-1,1,"2620459"
50,"spotify:track:5jXXQY6LLlEtEWMDL6XcaP","Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, MC Ryan SP, Mc Negão Original","Chatão","GRINGOS WORLD PRODUTORA",50,59,7,"2601693"
51,"spotify:track:4l2Fyw7EYB5XjcKwqcwuHQ","DJ Zigão, MC Roger","Tô na Brasilia com o Zigão","MSTT RECORDS",18,46,18,"2590260"
52,"spotify:track:6IFF888dQ0P6ilbj4kL6G8","Grupo Menos É Mais","Aquele Lugar - Ao Vivo","Som Livre",15,47,50,"2546526"
53,"spotify:track:4ZuUJilJAe5MSA8dXHdOXR","MC Tuto, DJ Oreia","2026","Universal Music Ltda.",38,54,5,"2444438"
54,"spotify:track:65O1EyYSg0Leyf0li6Vzah","Dj Yuri Pedrada, Nilo, MC Meno K, Mc Livinho, Mc Negão Original, MC Jvila, MC Ryan SP, Mc Paiva ZS, MC GDL","SET DJ YURI PEDRADA - TRAVA CHIP","GR6 Music",54,68,6,"2435604"
55,"spotify:track:4JaUZ7HAQRvyG2Vc7J2GVb","Luan Pereira, Léo Foguete, Mc Don Juan","NUNCA ESQUECIDO","Som Livre",55,-1,1,"2419352"
56,"spotify:track:6OPfBo0J6yqzSY9WxNlbA5","MC Willian, DJ Japa NK, DJ DAVI DOGDOG","Valentino","Cria Hit BR",23,63,22,"2416418"
57,"spotify:track:5L0d4gFfxGNITmevcFfHnA","NandaTsunami, Stick, Bvga Beatz, Torelli","P.I.T.T.Y. (Parecendo Uma Cafetina)","NandaTsunami",57,91,3,"2408605"
58,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",4,53,17,"2402122"
59,"spotify:track:5aMgTcyBPH90hWHhbNKTwR","Diego & Victor Hugo","Entregador de Flor - Ao Vivo em Brasília","Sony Music Entertainment",4,62,72,"2374360"
60,"spotify:track:4jHrB8ZcGoFbSMVq2FXzmk","Gusttavo Lima","Cama e Coração","Sony Music Entertainment",43,97,6,"2333617"
61,"spotify:track:0qZwqMsGSClyrKzbVbRto9","Diego & Arnaldo, Zé Neto & Cristiano","Vai Cair Água - Ao Vivo","Som Livre",21,71,26,"2324040"
62,"spotify:track:4c4tcqYfqiFc527gqNdRE5","Clayton & Romário, Zé Felipe","Se Eu Te Perdoar - Ao Vivo","WM Brazil",6,60,20,"2235159"
63,"spotify:track:39KwMv89TaEdaBrvk28AMC","Felipe e Rodrigo","Dois Gumes (Ao Vivo)","MK Records",42,65,12,"2233366"
64,"spotify:track:5cGieTJ0FQC2JXqSH4OJpg","NATTAN, Zé Felipe","Homem É Homem, Moleque É Moleque","Nattan",16,52,10,"2191663"
65,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",49,82,181,"2151922"
66,"spotify:track:75cbS6bJO0yUVXKVrRdSgv","Grupo Chocolate, Turma do Pagode","Alô Virgínia - Ao Vivo","ORIGINAL MUSIC BRASIL",16,61,7,"2144775"
67,"spotify:track:4oDxxFLVQMOdiSKf3YGgEq","Lukão Mec, Dj Adah, Lado Sul","Passa O Teu Bigode","Universal Music Ltda.",49,49,4,"2137776"
68,"spotify:track:4pOGEJRVOuaa9oyy7qTGf6","Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo","Fui Mlk","WMD",1,98,62,"2132662"
69,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",42,66,17,"2110167"
70,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",67,67,11,"2091062"
71,"spotify:track:1h0yBDChztCJRTqmI5U6ou","MORADA","É Tudo Sobre Você / Ser Mudado - Ao Vivo","Onimusic",50,79,47,"2078470"
72,"spotify:track:2KINhc9Jf5Z6IxdJ3xM07Z","MC Meno K, Fepache, DJ Oreia, DJ Hyago","A Firma Segue Lucrando","BOLOLO REC",59,74,11,"2065873"
73,"spotify:track:07kLShG3HTeLXTqnFCqNAJ","Henrique & Juliano","Amigo Da Minha Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",18,69,56,"2062456"
74,"spotify:track:5EMdMjFDucmNsD80Y0mjEI","Marina Sena","Numa Ilha","Sony Music Entertainment",74,90,10,"2055211"
75,"spotify:track:6zxthXT7GUBX83vRmQiN3x","Felipe e Rodrigo","Caos De Alguém (Ao Vivo)","MK Records",6,73,28,"2011122"
76,"spotify:track:7Ar8LA0VWbPNI2Oa4aRdeQ","Felipe e Rodrigo","Esquina","MK Records",76,-1,1,"2010719"
77,"spotify:track:6YAK1Sle1Wl7jOurqwWCfh","DJ DUARTE, DJ ORBITAL, Dj Rs","MONTAGEM CAMERA LENTA","Prime Funk",20,72,13,"2000874"
78,"spotify:track:5oI9blwsXC8AkTWw6wASY8","Matuê","Máquina do Tempo","Sony Music Entertainment",2,75,123,"1992720"
79,"spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5","PEDRO SAMPAIO, Marina Sena","ESCADA DO PRÉDIO","WM Brazil",8,99,37,"1957877"
80,"spotify:track:2YKc5o2kQ6e1Pch1DwpjkO","Matheus & Kauan, Lauana Prado","Admita - Ao Vivo","Universal Music Ltda (S&D)",80,-1,1,"1953267"
81,"spotify:track:4XYbOhT1tYC5CexattH53S","mikeeysmind","Lembrei de Tu","Magical Gap",76,76,2,"1913411"
82,"spotify:track:6AsHmmj1Yhismp19s1WAuW","Paulo Pires, Ellen Nery, GREGO, ÉaBest, Menordj","Medley de Arrocha","ÉaBest",82,-1,1,"1908978"
83,"spotify:track:65vJAh07BdwurqR9SRa6f8","Ferrugem, Sorriso Maroto","Apaguei Pra Todos - Ao Vivo","WM Brazil",17,86,93,"1904385"
84,"spotify:track:5wTHqpJDnoGW562HQW1BmC","KayBlack, Vulgo FK, Veigh, Fepache, Galdino, H4lfmeasures, Honaiser, Murillo e LT no Beat","TENTAR SER BREVE 🤷🏾‍♀️","WM Brazil",38,77,9,"1896360"
85,"spotify:track:5bPVaf87iW31GGfmk2yqsd","Dj Guuh, Mc Rodrigo do CN","VAI NO CHÃO BANDIDA","Prodok Music Group",47,80,30,"1886726"
86,"spotify:track:45Z3m6yazmAi4jZuW0tzW0","Harry Styles","Aperture","Columbia",86,-1,1,"1863170"
87,"spotify:track:280QfKhmWGn3LbyB39aA7u","Léo Foguete","Cópia Proibida","Sua Música Digital",5,81,65,"1834715"
88,"spotify:track:03Xt1TTim0FhR5fS48DLhE","Grupo Menos É Mais","Brinda Aê - Ao Vivo","Som Livre",87,128,6,"1829086"
89,"spotify:track:3kpWSH8AGR9MkGinPA4XDJ","Get Worship, Get Records, Melk Villar, Vinicius Cruz","Um Novo Dia - Ao Vivo","Get Records",89,93,4,"1816315"
90,"spotify:track:4f0aDk7HX37SfzerfznYlr","Grupo Menos É Mais, Matheus Fernandes","Lapada Dela - Ao Vivo","Som Livre",4,111,153,"1814577"
91,"spotify:track:0IBCX7PC9NcfFLuyoHxTNt","Zé Neto & Cristiano","Escondendo o Ouro - Ao Vivo","Som Livre",8,83,36,"1811854"
92,"spotify:track:035Q417M83JnP3wvSlyFEK","Julliany Souza","Quem É Esse? - Ao Vivo","Julliany Souza",53,95,46,"1807529"
93,"spotify:track:7MnT7msJZg3XBAS0OTfGrB","Legião Urbana","Tempo Perdido","EMI Brazil",61,85,108,"1793996"
94,"spotify:track:5YG4rxeltvw2KmOy0dW4z9","DJ YUZAK, MC BN, Mc RN Original","Montagem Sarra Sarra","Mandelão Records",32,78,11,"1791307"
95,"spotify:track:79MxbO0fmeREiSUdODnqaq","Luan Pereira, Ana Castela","ORÇAMENTO - Ao Vivo","Som Livre",26,109,8,"1772083"
96,"spotify:track:0Ao4OLBAduB4y8H80EKqTO","Natanzinho Lima","Sonho de Amor - Ao Vivo","Sua Música Digital",52,87,21,"1764695"
97,"spotify:track:6II8HGRVkvVUy0uIM4X5Qq","Marina Sena","Lua Cheia","Sony Music Entertainment",97,136,4,"1757192"
98,"spotify:track:3lKOC96UdjCG47HZDJVyih","Simone Mendes","Saudade Proibida - Ao Vivo","Universal Music Ltda.",1,94,43,"1742634"
99,"spotify:track:3M4HJl7D77l86gL1QXGJHG","Lauana Prado, Simone Mendes","Saudade Burra - Ao Vivo","Universal Music Ltda.",11,64,55,"1734708"
100,"spotify:track:36VRZwRtJBetGrepgusksf","Mc Brinquedo, MC Ryan SP, MC Meno K, DJ Japa NK, MC LUUKY, Boladin 211, MC Rick","Jet na Beira Mar (feat. MC LUUKY, Boladin 211 & MC Rick)","Bololo Records",100,-1,1,"1704227"
