rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
62,"spotify:track:58lPXPuE7deTicTvsdvVbL","Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending","Esse Cupido Não Me Ajuda","Ascending Recordz",19,50,12,"2087163"
63,"spotify:track:2M6M1f5SVQqamxeyItWZxo","AgroPlay, Ana Castela, CountryBeat","Era Sol Que Me Faltava","Paralogy",11,42,10,"2059258"
64,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",49,84,3,"2048080"
65,"spotify:track:6IFF888dQ0P6ilbj4kL6G8","Grupo Menos É Mais","Aquele Lugar - Ao Vivo","Som Livre",15,56,54,"2026146"
66,"spotify:track:035Q417M83JnP3wvSlyFEK","Julliany Souza","Quem É Esse? - Ao Vivo","Julliany Souza",53,110,50,"1987922"
67,"spotify:track:4QZqSqxdcgAbtZle4MS4ph","Gusttavo Lima","Retrovisor","Sony Music Entertainment",13,69,28,"1958277"
68,"spotify:track:2KGv51jgAz8OTjNPyRryfq","Jorge & Mateus","Pra Sempre Com Você - Ao Vivo","Som Livre",35,64,68,"1957464"
69,"spotify:track:3p58wJmZqIc9RjsdeZ5Jfq","Mc Negão Original, MC Jvila, MC Willian, DJ Japa NK, MC Meno K, DJ Guh Mix","Vou pela Madrugada","Cria Hit BR",23,76,33,"1952378"
70,"spotify:track:38jMHjnOAJDR4QUdk3IXsw","Murilo Huff, Marília Mendonça","Dois Enganados","M Show",49,83,185,"1950163"
71,"spotify:track:0qZwqMsGSClyrKzbVbRto9","Diego & Arnaldo, Zé Neto & Cristiano","Vai Cair Água - Ao Vivo","Som Livre",21,55,30,"1949924"
72,"spotify:track:27rqWKpmFCD0Mmw3XABBOW","DJ YAN MARIOTO, MC Marlon PH, BIG MC","Eu Vou Cuspir","LP Record's",54,72,4,"1930371"
73,"spotify:track:473DqaeIno75pBbp0bNrkT","Matheus Vargas, Cleber & Cauan","Desocupa","MV Produções Artisticas",24,77,20,"1925773"
74,"spotify:track:1bWYjhtGuje05MGLOAQvpj","Yasmin Sensação","Fanatismo","Ideia Distro Digital",13,48,11,"1915139"
75,"spotify:track:5oI9blwsXC8AkTWw6wASY8","Matuê","Máquina do Tempo","Sony Music Entertainment",2,96,127,"1910098"
76,"spotify:track:4jHrB8ZcGoFbSMVq2FXzmk","Gusttavo Lima","Cama e Coração","Sony Music Entertainment",43,78,10,"1909825"
77,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",4,97,21,"1889190"
78,"spotify:track:39KwMv89TaEdaBrvk28AMC","Felipe e Rodrigo","Dois Gumes (Ao Vivo)","MK Records",42,99,16,"1882520"
79,"spotify:track:4c4tcqYfqiFc527gqNdRE5","Clayton & Romário, Zé Felipe","Se Eu Te Perdoar - Ao Vivo","WM Brazil",6,67,24,"1879834"
80,"spotify:track:65O1EyYSg0Leyf0li6Vzah","Dj Yuri Pedrada, Nilo, MC Meno K, Mc Livinho, Mc Negão Original, MC Jvila, MC Ryan SP, Mc Paiva ZS, MC GDL","SET DJ YURI PEDRADA - TRAVA CHIP","GR6 Music",51,81,10,"1861955"
81,"spotify:track:2655xYZ347fG2N6OjkoMQ8","Jorge & Mateus","Logo Eu","Som Livre",81,86,70,"1852440"
82,"spotify:track:6OPfBo0J6yqzSY9WxNlbA5","MC Willian, DJ Japa NK, DJ DAVI DOGDOG","Valentino","Cria Hit BR",23,73,26,"1846811"
83,"spotify:track:0IBCX7PC9NcfFLuyoHxTNt","Zé Neto & Cristiano","Escondendo o Ouro - Ao Vivo","Som Livre",8,82,40,"1816183"
84,"spotify:track:5aMgTcyBPH90hWHhbNKTwR","Diego & Victor Hugo","Entregador de Flor - Ao Vivo em Brasília","Sony Music Entertainment",4,85,76,"1762345"
