rank,track_name,artist_name,listeners,mbid,url,date,country
39,Taste,Sabrina Carpenter,26557,058613a0-ed6e-4176-a232-27565c0b0bad,https://www.last.fm/music/Sabrina+Carpenter/_/Taste,2026-04-19,Brazil
40,Caso de Amor,Anitta,26352,,https://www.last.fm/music/Anitta/_/Caso+de+Amor,2026-04-19,Brazil
41,Várias Quejas,Anitta,26216,,https://www.last.fm/music/Anitta/_/V%C3%A1rias+Quejas,2026-04-19,Brazil
42,Like Animals,BTS,26154,da0221e5-7c96-4c23-8295-4855d91d4085,https://www.last.fm/music/BTS/_/Like+Animals,2026-04-19,Brazil
43,Busy Woman,Sabrina Carpenter,25896,5fee9157-3fda-45a0-bfef-0b4a396ced7f,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman,2026-04-19,Brazil
44,NORMAL,BTS,25609,1f1d16f1-3f17-4019-be0e-bb5cabd0f563,https://www.last.fm/music/BTS/_/NORMAL,2026-04-19,Brazil
45,Espresso,Sabrina Carpenter,25185,05e5ca93-eb60-491b-9669-8bac0307d52d,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,2026-04-19,Brazil
46,Nanã,Anitta,25003,,https://www.last.fm/music/Anitta/_/Nan%C3%A3,2026-04-19,Brazil
47,When Did You Get Hot?,Sabrina Carpenter,24939,6af83cf4-2b5e-4bcf-aa04-5921ae79416c,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F,2026-04-19,Brazil
48,BEAT UP CHANEL$,Slayyyter,24923,b105c99f-f560-4b4d-9b05-8af3489a0d60,https://www.last.fm/music/Slayyyter/_/BEAT+UP+CHANEL$,2026-04-19,Brazil
49,Extraordinária,Ebony,24914,99fd0719-5084-4ba9-a97f-a1ee30fd7bd3,https://www.last.fm/music/Ebony/_/Extraordin%C3%A1ria,2026-04-19,Brazil
50,See You Again (feat. Kali Uchis),"Tyler, The Creator",24864,681a3318-d896-4696-8745-0b9aaf642040,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)",2026-04-19,Brazil
