date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,Dj Felipe Maia,Daft Punk SNL tease (Remix),5,1,5
2026-04-22,DJ GORDINHO DA VF,Ciclonado,12165,3879,1
2026-04-22,DJ GORDINHO DA VF,Ta Com Sono,9807,2824,2
2026-04-22,DJ GORDINHO DA VF,Vo Chega Chegando,10667,2430,3
2026-04-22,DJ GORDINHO DA VF,Te Catucando La,4842,1357,4
2026-04-22,DJ GORDINHO DA VF,Phonk Brazilian - 4 Mandamentos,5000,1003,5
2026-04-22,DJ GORDINHO DA VF,BALLENA - VERSÃO BH,1693,664,6
2026-04-22,DJ GORDINHO DA VF,No Ar-condicionado,1197,578,7
2026-04-22,DJ GORDINHO DA VF,Fode e Te Machuca - Remix,2064,574,8
2026-04-22,DJ GORDINHO DA VF,Hino Das Puta,1468,536,9
2026-04-22,DJ GORDINHO DA VF,Grave Derruba Janela,1373,532,10
2026-04-22,DJ Guh Mix,Celebridade,171631,19446,1
2026-04-22,DJ Guh Mix,Som de Maloka,2239,765,2
2026-04-22,DJ Guh Mix,Qualidade ou defeito 🤬 (feat. Mc Nathan ZK & Mc Negão Original),3458,746,3
2026-04-22,DJ Guh Mix,Baile do Guh Mix (feat. Mc Negão Original),2125,577,4
2026-04-22,DJ Guh Mix,Foco É o Lucro,903,463,5
2026-04-22,DJ Guh Mix,Barbacoa 🤬,1651,408,6
2026-04-22,DJ Guh Mix,Baile do Guh Mix,1257,324,7
2026-04-22,DJ Guh Mix,ESSA MINA É MÓ GOSTOSA,902,268,8
2026-04-22,DJ Guh Mix,Bombei,583,209,9
2026-04-22,DJ Guh Mix,Salto Agulha 🤬 (feat. Mc Negão Original),1018,197,10
2026-04-22,DJ Japa NK,Posso Até Não Te Dar Flores,2387424,210224,1
2026-04-22,DJ Japa NK,Amo Minha Favela,612019,105322,2
2026-04-22,DJ Japa NK,Gauchinha,300249,57586,3
2026-04-22,DJ Japa NK,Comedinha Ficou Bravo,367235,43795,4
2026-04-22,DJ Japa NK,SET DO JAPA NK 2.0,155963,41677,5
2026-04-22,DJ Japa NK,"SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam)",123620,32252,6
2026-04-22,DJ Japa NK,Hoje Eu Contei 100K No 7,60013,20911,7
2026-04-22,DJ Japa NK,Vida de Casado é Bom,25562,12848,8
2026-04-22,DJ Japa NK,Por Onde Eu For,31946,5809,9
2026-04-22,DJ Japa NK,Noite Bela Noite Linda,12330,4443,10
2026-04-22,DJ Kaioken,MTG Sabor Energético,40,23,1
2026-04-22,DJ Kaioken,Vou Mostrar o Meu Talento,18,8,2
2026-04-22,DJ Kaioken,Senta Com Força no Urso Polar,46,6,3
2026-04-22,DJ Kaioken,Beat Arabiano Dos Fluxos,5,5,4
2026-04-22,DJ Kaioken,Sexo Selvagem,5,4,5
2026-04-22,DJ Kaioken,Viva Intensamente,4,3,6
2026-04-22,DJ Kaioken,Cavucadão,4,3,7
2026-04-22,DJ Kaioken,Não Morde Não,3,3,8
2026-04-22,DJ Kaioken,Set And Seven,3,3,9
2026-04-22,DJ Kaioken,Toma com Pressão Remix,4,2,10
2026-04-22,DJ Oreia,Diário de um Cafajeste,249332,38535,1
2026-04-22,DJ Oreia,Olha pra Minha Cara Não,103403,20271,2
2026-04-22,DJ Oreia,Mãe de Todas,5985,2066,3
2026-04-22,DJ Oreia,Melhores Amigos,7627,1868,4
2026-04-22,DJ Oreia,Havaianas ou Kenner,3104,1750,5
2026-04-22,DJ Oreia,Desistir Não Vou Jamais,13518,1595,6
2026-04-22,DJ Oreia,Black Friday,7180,1594,7
2026-04-22,DJ Oreia,Onde é o After,3679,1282,8
2026-04-22,DJ Oreia,Play no Game,3581,839,9
2026-04-22,DJ Oreia,Sem Relacionamento,1414,818,10
2026-04-22,DU'L,Curva do S,2409,1009,1
