rank,artist_name,listeners,mbid,url,date,country
166,Henrique & Juliano,25655,99329c41-2069-4c12-8e8c-035fdf5127a5,https://www.last.fm/music/Henrique+&+Juliano,2026-04-19,Brazil
167,Lisa,25522,70198b37-f6c7-4cc7-a728-4224e860a15f,https://www.last.fm/music/Lisa,2026-04-19,Brazil
168,Preta Gil,25446,6348666a-b266-49d7-836c-b9d4741ba646,https://www.last.fm/music/Preta+Gil,2026-04-19,Brazil
169,Racionais MC's,25425,,https://www.last.fm/music/Racionais+MC%27s,2026-04-19,Brazil
170,Kate Bush,25416,4b585938-f271-45e2-b19a-91c634b5e396,https://www.last.fm/music/Kate+Bush,2026-04-19,Brazil
171,Malcolm Todd,25415,6c2a79b8-2b5c-4c2d-b495-6a446811bf9d,https://www.last.fm/music/Malcolm+Todd,2026-04-19,Brazil
172,Hozier,25409,b4691384-50c3-4afd-9988-51d3ec5db65d,https://www.last.fm/music/Hozier,2026-04-19,Brazil
173,FBC,25395,1057a765-2447-4bd5-b977-d62b0505e03a,https://www.last.fm/music/FBC,2026-04-19,Brazil
174,Post Malone,25192,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,https://www.last.fm/music/Post+Malone,2026-04-19,Brazil
175,O Rappa,25175,00034ede-a1f1-4219-be39-02f36853373e,https://www.last.fm/music/O+Rappa,2026-04-19,Brazil
176,Pierce the Veil,25083,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,https://www.last.fm/music/Pierce+the+Veil,2026-04-19,Brazil
177,Adele,25028,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,https://www.last.fm/music/Adele,2026-04-19,Brazil
178,Mac Miller,25002,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,https://www.last.fm/music/Mac+Miller,2026-04-19,Brazil
179,Pearl Jam,24997,83b9cbe7-9857-49e2-ab8e-b57b01038103,https://www.last.fm/music/Pearl+Jam,2026-04-19,Brazil
180,Kesha,24982,fab34286-b8e1-4879-bce3-194e1358fbd2,https://www.last.fm/music/Kesha,2026-04-19,Brazil
181,Filipe Ret,24955,e0bce080-b2b8-4140-a0f2-ccc886ffad8c,https://www.last.fm/music/Filipe+Ret,2026-04-19,Brazil
182,Ferrugem,24896,4677c3cf-cc38-4e88-9969-bd3d3bf9fda1,https://www.last.fm/music/Ferrugem,2026-04-19,Brazil
183,Elis Regina,24890,e9e85a54-074c-4d29-a886-bcaaa9d44f9f,https://www.last.fm/music/Elis+Regina,2026-04-19,Brazil
184,Pitty,24819,fecdd690-a3e6-4e30-a789-3bd0f71a69c9,https://www.last.fm/music/Pitty,2026-04-19,Brazil
185,Maria Bethânia,24516,b3998c06-04e6-4b1d-bd2a-d5b83572ae7b,https://www.last.fm/music/Maria+Beth%C3%A2nia,2026-04-19,Brazil
186,Hearts2Hearts,24349,066080a4-84c7-46c6-91d3-dc10d572749b,https://www.last.fm/music/Hearts2Hearts,2026-04-19,Brazil
187,Black Sabbath,24209,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://www.last.fm/music/Black+Sabbath,2026-04-19,Brazil
188,XG,24104,8dfe067c-ae90-472e-80f2-fcee9be4e158,https://www.last.fm/music/XG,2026-04-19,Brazil
189,Halsey,24009,3377f3bb-60fc-4403-aea9-7e800612e060,https://www.last.fm/music/Halsey,2026-04-19,Brazil
190,David Bowie,24005,5441c29d-3602-4898-b1a1-b77fa23b8e50,https://www.last.fm/music/David+Bowie,2026-04-19,Brazil
191,50 Cent,23780,8e68819d-71be-4e7d-b41d-f1df81b01d3f,https://www.last.fm/music/50+Cent,2026-04-19,Brazil
192,Rubel,23758,c8e13148-c14a-4d07-95ef-f53d31e49e10,https://www.last.fm/music/Rubel,2026-04-19,Brazil
193,Conan Gray,23638,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,https://www.last.fm/music/Conan+Gray,2026-04-19,Brazil
194,bôa,23588,ca1dcba2-792c-4550-abf2-7b45396e81ca,https://www.last.fm/music/b%C3%B4a,2026-04-19,Brazil
195,Major Lazer,23513,75be165a-ad83-4d12-bd28-f589a15c479f,https://www.last.fm/music/Major+Lazer,2026-04-19,Brazil
196,Gracie Abrams,23474,f7441bc7-d7de-4813-a2fc-31a4033d396d,https://www.last.fm/music/Gracie+Abrams,2026-04-19,Brazil
197,ILLIT,23344,6b128dd7-e998-4edb-a4f5-400fef190445,https://www.last.fm/music/ILLIT,2026-04-19,Brazil
198,Alee,23253,5512f7aa-cf0e-4119-8784-04b02e3d01d1,https://www.last.fm/music/Alee,2026-04-19,Brazil
199,Urias,23207,4e883e4e-03a6-4573-aa9e-b911a610a095,https://www.last.fm/music/Urias,2026-04-19,Brazil
200,Secos & Molhados,23170,6840dcbe-3aca-4057-8d16-4799c3730e3a,https://www.last.fm/music/Secos+&+Molhados,2026-04-19,Brazil
