date,artist_name,spotify_id,followers,popularity
2026-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02,155421753,97
2026-04-18,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,24026179,80
2026-04-18,Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7634209,83
2026-04-18,Panda,5qIpstBGrGteJZg1xIvbiz,662922,83
2026-04-18,Xand Avião,43DRDu6nLSeIedZ7T1A616,3521465,71
2026-04-18,Orochi,3rfM2cGqF6DB0kUyytMkXx,9643755,76
2026-04-18,Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,4183395,71
2026-04-18,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,3496910,77
2026-04-18,Léo Santana,7KVJCU4z5L4EUHILL8aMxR,2506853,70
2026-04-18,Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,4117983,76
2026-04-18,NATTAN,1SXhEXzOTF7YeuQX59m7pT,4094812,74
2026-04-18,Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,2712340,78
2026-04-18,Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,951226,78
2026-04-18,Mc IG,2q9wk5fkeU2C9CgCKdh4AN,12833305,80
2026-04-18,Racionais MC's,29CQLw9uLWsl8Qkz9holfr,10143828,71
2026-04-18,Veigh,4YqwRbMLqGHRHLS1w2ZKse,7103481,76
2026-04-18,MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,8336479,85
2026-04-18,MORADA,4az97MtWmBQ5Db3GfDh9j9,4903568,79
2026-04-18,MC GP,5s27i7oqhNWIcE4HeoVdq0,2418049,78
2026-04-18,Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,660682,75
2026-04-18,Stick,3ZGr7nQBXDU2WhyXgRVbt0,1210541,65
2026-04-18,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,5330821,75
2026-04-18,DU'L,4bJqqUCbQmRxziUoxUz5mS,12585,69
2026-04-18,Julliany Souza,0d71FlLkqZzdpEQifcngQq,1009835,70
2026-04-18,Mc Lele JP,1mV9h1AwhRXSjBFcYpajgY,1648364,82
2026-04-18,Mc Negão Original,4LHTgACY32k94VDjenF0nP,1947991,81
2026-04-18,Grelo,1eIYP01ZLPKEExhcV6xFgt,1266450,69
2026-04-18,Marina Sena,6CwfuxIqcltXDGjfZsMd9A,6299677,75
2026-04-18,Vitinho Imperador,09djLPsTydbIFC9duW5mQp,1191648,63
2026-04-18,MC Tuto,6aoGgTKGqtsjj48ymcNs4Z,2686052,79
2026-04-18,Mc Gw,0f1IECbrVV952unZkzrsg2,1640095,79
2026-04-18,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,4289403,74
2026-04-18,Melody,2P1puQXmG48EVLBrHbum1J,780383,62
2026-04-18,MC Meno K,1CbQrKvCpEnekM3QMGJtXK,1030122,85
2026-04-18,cjnobeat,4fKJ81BAFxuwAFUI3B1BXM,74836,66
2026-04-18,DJ Japa NK,1bpnl8qbR9GxmiNlkEufW6,1099052,82
2026-04-18,MC Rick,1mvpEXClANunyiHFtAXCxt,1715743,70
2026-04-18,Oruam,4yGgbQJMq9orWypwqtdzYT,5164438,76
2026-04-18,Júnior e Cézar,5fWvTvWy2NCaVy8pFmWIvk,134745,66
2026-04-18,MC Leozinho ZS,6VyttZwyEMGBl90oGdKCB8,928594,72
2026-04-18,Mc DR,4d175LvxCzxt5vHbJyv49q,362172,58
2026-04-18,Mc Brinquedo,1SZXYhJz4sqEss888VmWLP,1127113,69
2026-04-18,DJ Oreia,1b8S7EPzdckRyIh0uSbOMI,574473,76
2026-04-18,MC Menor ZL,7vtCvjMGmRijbRIvScJmkO,145367,62
