date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-18,Taylor Swift,Blank Space,28058617,1819983,1
2026-04-18,Taylor Swift,Cruel Summer,48948963,1685224,2
2026-04-18,Taylor Swift,Shake It Off,18747564,1617847,3
2026-04-18,Taylor Swift,Style,33872285,1584583,4
2026-04-18,Taylor Swift,cardigan,44852257,1541331,5
2026-04-18,Taylor Swift,Love Story,14343386,1491543,6
2026-04-18,Taylor Swift,You Belong with Me,13707949,1428407,7
2026-04-18,Taylor Swift,august,42777955,1369814,8
2026-04-18,Taylor Swift,Anti-Hero,34463166,1344084,9
2026-04-18,Taylor Swift,Lover,27439819,1343453,10
2026-04-18,Gusttavo Lima,Balada - Ao Vivo,656066,135320,1
2026-04-18,Gusttavo Lima,Balada,614298,97099,2
2026-04-18,Gusttavo Lima,Canudinho - Ao Vivo,596905,84541,3
2026-04-18,Gusttavo Lima,Apelido Carinhoso,401970,80560,4
2026-04-18,Gusttavo Lima,Bloqueado - Ao Vivo,485198,74771,5
2026-04-18,Gusttavo Lima,Inventor dos Amores (feat. Jorge & Mateus) - Ao Vivo,310954,55269,6
2026-04-18,Gusttavo Lima,Mala dos Porta-Mala - Ao Vivo,300887,52384,7
2026-04-18,Gusttavo Lima,Termina comigo antes,306290,51697,8
2026-04-18,Gusttavo Lima,Ficha Limpa,362662,50298,9
2026-04-18,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,407259,44412,10
2026-04-18,Grupo Menos É Mais,Lapada Dela - Ao Vivo,1838181,223591,1
2026-04-18,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,1612868,193550,2
2026-04-18,Grupo Menos É Mais,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,997977,149388,3
2026-04-18,Grupo Menos É Mais,P do Pecado - Ao Vivo,1015657,137625,4
2026-04-18,Grupo Menos É Mais,Adorei,552685,116344,5
2026-04-18,Grupo Menos É Mais,Vai Me Dando Corda - Ao Vivo,526514,104389,6
2026-04-18,Grupo Menos É Mais,Até Que Durou / Tu Mandas No Meu Coração / Adorei / Supera,442350,90425,7
2026-04-18,Grupo Menos É Mais,Aquele Lugar - Ao Vivo,412783,82219,8
2026-04-18,Grupo Menos É Mais,Pela Última Vez - Ao Vivo,464967,81067,9
2026-04-18,Grupo Menos É Mais,Recaída,316553,72802,10
2026-04-18,Panda,Baqueado - Ao Vivo,380166,48387,1
