uri,track_name,artist_names,release_date,release_date_precision
spotify:track:0OBv4CEP5FKS19ZQGHAUM6,Fala na Cara,"Mc Paiva ZS, DJ Ak beats, Love Funk",2023-10-11,day
spotify:track:2je7f5dovpUabOqTSfyD5V,Jejum de Amor / Caixa Postal / Vida Vazia - Ao Vivo,Grupo Menos É Mais,2024-11-14,day
spotify:track:4JSROzfWqKccwZ68DX1aJe,Tudo Que Você Quiser - Ao Vivo,Luan Santana,2013-10-21,day
spotify:track:0AWbhOimtlECEsQP0H5J6Q,CARNAVAL,"Marina Sena, Psirico",2025-12-17,day
spotify:track:7fFXRzdVsW8nNIjgYwL5Pf,Superfantasticamente (Superfantastico),"Henry Freitas, Nuzio Medeiros, Kadu Martins",2025-12-10,day
spotify:track:1haTu99Drbh0fs7d09UNPu,Nem Pagando,"Henrique Casttro, Grupo Menos É Mais",2026-02-26,day
spotify:track:6bor3RIvmpmz5c435liCs9,Cheiro De Culpado - Ao Vivo,Júnior e Cézar,2025-11-06,day
spotify:track:2WYuivMCuOQbxhaatuWUCN,Vai Tomando Pock Pock,"Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR",2025-08-07,day
spotify:track:3p58wJmZqIc9RjsdeZ5Jfq,Vou pela Madrugada,"Mc Negão Original, MC Jvila, MC Willian, DJ Japa NK, MC Meno K, DJ Guh Mix",2025-02-07,day
spotify:track:280QfKhmWGn3LbyB39aA7u,Cópia Proibida,Léo Foguete,2024-10-26,day
spotify:track:3Hd5fVKydmRK2vjhXVxqgU,Amor de Fim de Noite / Por Favor / Nem Aí - Ao Vivo,Vitor Limma,2025-08-15,day
spotify:track:6nNtdCNvY30m0PNejEIzdL,Teus Segredos - Ao Vivo,"Fernando & Sorocaba, Hugo & Guilherme",2026-03-12,day
spotify:track:12bYYQaLqHliSXvRIYlq8G,I Just Might,Bruno Mars,2026-01-09,day
spotify:track:5aMgTcyBPH90hWHhbNKTwR,Entregador de Flor - Ao Vivo em Brasília,Diego & Victor Hugo,2019-07-12,day
spotify:track:7G8V8LiyyqwzSlsQLiaitN,Toma Gostosona,"Mc Lele JP, DJ Guh Mix",2025-04-28,day
spotify:track:6omKlm9PHL3w95NzNtVDZd,Faz Parte De Mim,"MC Tuto, DJ Oreia",2026-02-02,day
spotify:track:4tP2kbroBcBmYk4IhbYwu5,Bola Uma Vela (Trava Chip),"MC Meno K, Dj Yuri Pedrada",2026-02-26,day
spotify:track:4pFClSkP1eieghNTjVgf0J,Se Quiser Pode Ir,"Mc Lele JP, DJ Japa NK, DJ Victor Falcão",2026-01-22,day
spotify:track:6ccKu0LwJzOhLAxBwP2PTk,Os Anjos Cantam,Jorge & Mateus,2015-03-23,day
spotify:track:07kLShG3HTeLXTqnFCqNAJ,Amigo Da Minha Saudade - Ao Vivo,Henrique & Juliano,2024-12-13,day
spotify:track:314coIrgJwYCz7RlhEcNGC,Mala,Hugo Henrique,2025-11-13,day
