date,artist_name,spotify_id,followers,popularity
2026-03-30,Marília Mendonça,1yR65psqiazQpeM79CcGh8,39694946,78
2026-03-30,MJ Records,0oAZhL6hFrM3YRr6QzjlOf,109601,81
2026-03-30,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,23972139,80
2026-03-30,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,25298453,81
2026-03-30,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,12569213,74
2026-03-30,Anitta,7FNnA9vBm6EKceENgCGRMb,13384164,80
2026-03-30,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,10978658,79
2026-03-30,Pablo,5M9Bb4adKAgrOFOhc05Y50,5679983,74
2026-03-30,LUDMILLA,3CDoRporvSjdzTrm99a3gi,8569046,73
2026-03-30,Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7487068,82
2026-03-30,Sorriso Maroto,1fUSLFr4WUBx7joEcGwpvG,4040435,75
2026-03-30,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,7476646,71
2026-03-30,Panda,5qIpstBGrGteJZg1xIvbiz,606831,82
2026-03-30,Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,6591557,76
2026-03-30,Zé Felipe,7cmuxPnXRJxwuYDHfbD8Eu,5630447,71
2026-03-30,Lauana Prado,6TYimByryGphZCtwYopH0y,6149595,74
2026-03-30,Xand Avião,43DRDu6nLSeIedZ7T1A616,3507948,70
2026-03-30,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,4179032,72
2026-03-30,Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,4162053,71
2026-03-30,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,6696005,72
2026-03-30,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,3457453,77
2026-03-30,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,5885324,64
2026-03-30,Léo Santana,7KVJCU4z5L4EUHILL8aMxR,2501841,70
2026-03-30,Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,2798545,76
2026-03-30,Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,4041969,67
2026-03-30,Ana Castela,2CKOmarVWvWqkNWUatHCex,10070431,78
2026-03-30,Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,4082309,75
2026-03-30,NATTAN,1SXhEXzOTF7YeuQX59m7pT,4076830,73
2026-03-30,Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,2651950,77
2026-03-30,Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,937861,77
2026-03-30,Manu,0tmwSHipWxN12fsoLcFU3B,16379887,82
2026-03-30,Felipe Amorim,3CIIaeZuFYrAD6PRVyuO4U,3468022,72
2026-03-30,Leonardo,2YWOP324cKGfkTo2PydgJR,2523926,66
2026-03-30,Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,3556804,73
2026-03-30,Bruno & Barretto,70x9rYb58QCNNeNxuO3StS,2933224,63
2026-03-30,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,32711197,85
2026-03-30,Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,903797,70
2026-03-30,Matheus Fernandes,37mqXU98U5GmH5ZDtlHM1c,986583,66
2026-03-30,MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,8269018,84
2026-03-30,Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,648833,74
2026-03-30,Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,8223571,72
2026-03-30,Mayke & Rodrigo,70l6HIf0rz8ZMQCW5qK6QI,44206,65
2026-03-30,Eric Land,007FXgr0jLBJxhPJjacXQH,1293840,60
2026-03-30,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,13580047,78
2026-03-30,Kamisa 10,39VceBo0jXir85LCeAmAIs,772559,68
2026-03-30,Raphaela Santos,1xUYzPQi0zdezdLkEjuqQH,378342,60
2026-03-30,Cleber & Cauan,6Y8pfJkEdw4EAST4g9C026,1906425,64
2026-03-30,Priscila Senna,44F6hbmusaHQR96WFbo6Lv,277652,62
2026-03-30,AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,1140376,67
2026-03-30,Fiduma & Jeca,2h73KyGixa4A1xlhcxjpG1,659754,64
