date,artist_name,spotify_id,followers,popularity
2026-03-28,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,32672333,84
2026-03-28,Panda,5qIpstBGrGteJZg1xIvbiz,600664,82
2026-03-28,Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7463666,82
2026-03-28,MJ Records,0oAZhL6hFrM3YRr6QzjlOf,108675,81
2026-03-28,Anitta,7FNnA9vBm6EKceENgCGRMb,13381218,80
2026-03-28,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,25282067,80
2026-03-28,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,23961217,79
2026-03-28,Ana Castela,2CKOmarVWvWqkNWUatHCex,10063816,78
2026-03-28,Marília Mendonça,1yR65psqiazQpeM79CcGh8,39676700,78
2026-03-28,Mc Gw,0f1IECbrVV952unZkzrsg2,1634374,78
2026-03-28,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,13574463,78
2026-03-28,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,10958546,78
2026-03-28,Matuê,5nP8x4uEFjAAmDzwOEc9b8,14831815,78
2026-03-28,Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,936259,77
2026-03-28,Filipe Ret,7gJN8W0589FisSYJS17K54,9996833,77
2026-03-28,Mc Jacaré,6qrqAYlS6lUj2BVXax7SZW,1369533,77
2026-03-28,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,3450966,77
2026-03-28,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,23766502,77
2026-03-28,Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,2794856,76
2026-03-28,Veigh,4YqwRbMLqGHRHLS1w2ZKse,7047300,76
