genre,n_artists,avg_call2go_rate,median_call2go_rate,avg_lastfm_listeners
Gospel,2,0.4,0.4,60223.0
Outros,27,0.04938271604938271,0.0,73107.55555555556
Funk,18,0.044444444444444446,0.0,190031.16666666666
Country/Internacional,1,0.0,0.0,5930414.0
Forro/Piseiro,3,0.0,0.0,153303.0
Pagode/Samba,2,0.0,0.0,300160.0
Pop,2,0.0,0.0,282641.5
Rap/Hip-Hop,5,0.0,0.0,278876.8
Rock,2,0.0,0.0,155652.0
Sertanejo,5,0.0,0.0,295176.8
