Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,21,10085847,0.06%,https://www.youtube.com/watch?v=WQHYbOy7H2g
2,3,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,10,8805165,0.03%,https://www.youtube.com/watch?v=hToGSAFPwds
3,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,15,8314345,-0.14%,https://www.youtube.com/watch?v=7CF5qbw8zec
4,4,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,8,7331295,0.07%,https://www.youtube.com/watch?v=rIuKKV06CZA
5,5,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,26,6357754,-0.03%,https://www.youtube.com/watch?v=ztC8bM-EYOg
6,7,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,48,5022599,-0.01%,https://www.youtube.com/watch?v=eAIivxKZYZw
7,11,Eu Me Apaixonei,Vitinho Imperador,34,4328292,0.01%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
8,8,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,31,4296385,-0.1%,https://www.youtube.com/watch?v=_zKnEm9xPWw
9,14,Tudo É Perda (Ao Vivo),Felipe Rodrigues,21,4282299,0.26%,https://www.youtube.com/watch?v=qxzQR5uwWsk
10,9,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,9,4151900,-0.06%,https://www.youtube.com/watch?v=GwccKjN3OWY
11,21,Amo Minha Favela,DJ Japa NK & MC MENO K,16,3710211,0.28%,https://www.youtube.com/watch?v=xVxFGVNJvdY
12,10,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,26,3677731,-0.15%,https://www.youtube.com/watch?v=tWjTNxAvlLk
13,13,A Cena,Netto Brito & Pablo,5,3549258,0.03%,https://www.youtube.com/watch?v=I462VchM2lU
14,39,Primeira Essência (Ao Vivo),Felipe Rodrigues,22,3547820,0.73%,https://www.youtube.com/watch?v=eO9dUp5goWo
15,26,Foi por Conveniência,Marília Mendonça,15,3433515,0.35%,https://www.youtube.com/watch?v=Dt13Wv6Opeo
16,22,Se Eu Ficar Pá Nem Me Testa (feat. Mc Negão Original MC ALAN JR Menor richard MC IG & DJ Japa NK),Mc J9 & MC Ryan SP & DJ Guh Mix & MC Don Juan,5,3394518,0.17%,https://www.youtube.com/watch?v=OrcRaShjGQk
17,16,Eu Te Seguro (Ao Vivo),Panda & MJ Records,23,3347990,0.02%,https://www.youtube.com/watch?v=kI6ywewtYkc
18,6,SWIM,BTS,2,3287326,-0.42%,https://www.youtube.com/watch?v=b4iVv91Z6lY
19,12,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,32,3255629,-0.1%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
20,15,Quem É Esse?(Live),Julliany Souza,46,3244955,-0.02%,https://www.youtube.com/watch?v=0ZF5em0MTwY
21,19,Gauchinha (feat. MC LUUKY),DJ Japa NK & MC MENO K & MC Ryan SP & MC Brinquedo,15,3239432,0.04%,https://www.youtube.com/watch?v=ps7k1q7PbA4
22,17,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,27,3233684,0%,https://www.youtube.com/watch?v=hQskOv9b_kg
23,23,Lembrei de Tu,MC MENO K & Oruam & Fepache,7,3096730,0.11%,https://www.youtube.com/watch?v=StGgzGjZ67Y
24,20,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,20,3031622,-0.02%,https://www.youtube.com/watch?v=QbdcQV63c2Y
25,18,PEGA A MALDADE DA BANDIDA,Dj Luan Gomes & Mc Ws da leste & Delleon & Tropa da W&S,9,2965289,-0.07%,https://www.youtube.com/watch?v=FYz81lpGwsQ
26,25,Amor Dos Outros (Ao Vivo),Henrique & Juliano,37,2817050,0.06%,https://www.youtube.com/watch?v=0kiCQLdfgVg
27,31,Sonho de Amor (Ao Vivo),Natanzinho Lima,32,2538304,0.06%,https://www.youtube.com/watch?v=VnPB-H7Zo7Y
28,37,10 Minutos de Freestyle,Oruam & LeodoKick & Gigant,13,2490723,0.21%,https://www.youtube.com/watch?v=_Lt9ZomgPCQ
29,24,Body Splash(Live),Netto Brito,36,2404078,-0.11%,https://www.youtube.com/watch?v=0GLnePaA4e8
30,27,Até Você Voltar (Ao Vivo),Henrique & Juliano,51,2307087,-0.08%,https://www.youtube.com/watch?v=S6JpneypYvc
31,n/a,Famoso Ímã | O poderoso chatão,MC Lele JP & Mc Poze do Rodo & MC Leozinho ZS & Dj Gordinho da VF,1,2294712,n/a,https://www.youtube.com/watch?v=ODijwjs8Qvc
32,29,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,37,2257202,-0.08%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
33,28,NO BATIDÃO,ZXKAI & slxughter,23,2202678,-0.11%,https://www.youtube.com/watch?v=GXioir-fujY
34,32,Me Apaixonei Nessa Morena (Ao Vivo),Natanzinho Lima,39,2200023,-0.03%,https://www.youtube.com/watch?v=KzPau_0Ad7o
35,40,Saudade Proibida (Ao Vivo),Simone Mendes,51,2163106,0.06%,https://www.youtube.com/watch?v=uEtGTq92Cmk
36,33,Déjà Vu (Live),Andrielly Souza,4,2157160,0%,https://www.youtube.com/watch?v=0CPO73ihFXo
37,34,Um Centímetro (feat. Juninho Moraes),Toque Dez,21,2057475,-0.04%,https://www.youtube.com/watch?v=UHY_Znbz6zc
38,30,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco(Live),Filho do Piseiro & Claudio Ney & Juliana,7,2029124,-0.17%,https://www.youtube.com/watch?v=0692WFAqRxs
39,36,Brega Funk dos Rosa (feat. Katlen & Leozinn),Void & Robson Abreu & Emilly Vick,18,1958346,-0.07%,https://www.youtube.com/watch?v=qgz-ydhRs4s
40,38,Talvez você precise de mim,Veigh & Supernova Ent,27,1957314,-0.04%,https://www.youtube.com/watch?v=V2M1Xx50arE
41,49,VEM CAVALGANDO VAI CAVALONA,MC Menor MT & MC Lindão & DJ JHOW BEATS,2,1916045,0.12%,https://www.youtube.com/watch?v=9TEvvYXFkSU
42,85,Um Beijo por Minuto (25 Milhões) (Ao Vivo),Natanzinho Lima,2,1903780,0.68%,https://www.youtube.com/watch?v=6NfinN3Gg-A
43,42,Um Novo Dia (Ao Vivo),Get Worship & Get Records & Melk Villar & Vinicius Cruz,35,1900817,0%,https://www.youtube.com/watch?v=6NvkZY-va0E
44,n/a,2.0,BTS,1,1895192,n/a,https://www.youtube.com/watch?v=_gyultVTesk
45,41,Raparigas,Filho do Piseiro,7,1840391,-0.06%,https://www.youtube.com/watch?v=FvNmjVQwE0o
46,43,Até Quebrar a Cama 2.0,cjnobeat & Mc Morena & MC GW,31,1839049,-0.02%,https://www.youtube.com/watch?v=sRc1Fh0y3ZI
47,46,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,12,1834850,0.02%,https://www.youtube.com/watch?v=OGzvLeq6too
48,n/a,Pra Não Pensar em Você (Ao Vivo),Zezé Di Camargo & Luciano,23,1800428,n/a,https://www.youtube.com/watch?v=JPITxZbf5H4
49,55,Xota Agua Xau Bom Dia,Danado do Recife & Escama Reels & Zoinho no Beat & mc lysa,4,1749085,0.15%,https://www.youtube.com/watch?v=5Dm8xr8MzDs
50,58,Calcinha de Renda (Ao Vivo),Panda & Gusttavo Lima & MJ Records,12,1736111,0.16%,https://www.youtube.com/watch?v=GVSS3lh_lCY
51,n/a,Deixe-Me Ir,1Kilo & Knust & Baviera,47,1718557,n/a,https://www.youtube.com/watch?v=TQ5DUv_ZwRg
52,77,Dizeres,Orgânico & Lourena & Sant & Léo Casa 1 & Rap Box,3,1637464,0.39%,https://www.youtube.com/watch?v=lxhqCcrnTv4
53,63,Troca de Calçada,Marília Mendonça,36,1604131,0.15%,https://www.youtube.com/watch?v=WkYqQctOi9g
54,60,Arrependidaço (Onde Você Anda),Ferrugem,3,1595508,0.11%,https://www.youtube.com/watch?v=mILYtp4UHIQ
55,53,Não Me Faça Chorar (Ao Vivo),Priscila Senna & Pablo,13,1572180,-0.01%,https://www.youtube.com/watch?v=tfiHm1cbxe4
56,52,Semi Nua 2 (feat. MC GP MC Ryan SP MC Willian DJ Guh Mix DU'L MC RN do Capão & Marquinho No Beat),Mc Iguinho Ct & Mc Negão Original & Aaron Modesto & Mc Dena,4,1559338,-0.03%,https://www.youtube.com/watch?v=RREZkww4imw
57,59,Nome Proibido,Rey Vaqueiro,10,1528269,0.05%,https://www.youtube.com/watch?v=5yrZab1iEXA
58,50,Resenha Na Laje,KEW & DJGILCASTRO,8,1515447,-0.1%,https://www.youtube.com/watch?v=O7buVI-wk9I
59,47,Chatão (feat. Mc Negão Original & MC Ryan SP),MC Lele JP & Dj Oreia & Mc DR & Gubeatz,11,1513358,-0.14%,https://www.youtube.com/watch?v=7UllbN9itGM
60,54,Estrela (Ao Vivo),Rey Vaqueiro & Zé Vaqueiro,20,1492081,-0.04%,https://www.youtube.com/watch?v=BpayGeuxgBM
61,56,Não Me Deixe Esquecer (Ao Vivo),Valesca Mayssa,3,1484600,-0.01%,https://www.youtube.com/watch?v=xkQCzSNRGCs
