Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC MENO K & MC Ryan SP & MC Tuto & Mc Negão Original,22,9080105,-0.1%,https://www.youtube.com/watch?v=WQHYbOy7H2g
2,2,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,11,8537776,-0.03%,https://www.youtube.com/watch?v=hToGSAFPwds
3,3,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,16,7540442,-0.09%,https://www.youtube.com/watch?v=7CF5qbw8zec
4,4,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,9,7025605,-0.04%,https://www.youtube.com/watch?v=rIuKKV06CZA
5,5,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,27,5425120,-0.15%,https://www.youtube.com/watch?v=ztC8bM-EYOg
6,31,Famoso Ímã | O poderoso chatão,MC Lele JP & Mc Poze do Rodo & MC Leozinho ZS & Dj Gordinho da VF,2,5246405,1.29%,https://www.youtube.com/watch?v=ODijwjs8Qvc
7,6,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,49,4784513,-0.05%,https://www.youtube.com/watch?v=eAIivxKZYZw
8,9,Tudo É Perda (Ao Vivo),Felipe Rodrigues,22,4528739,0.06%,https://www.youtube.com/watch?v=qxzQR5uwWsk
9,16,Se Eu Ficar Pá Nem Me Testa (feat. Mc Negão Original MC ALAN JR Menor richard MC IG & DJ Japa NK),Mc J9 & MC Ryan SP & DJ Guh Mix & MC Don Juan,6,4144936,0.22%,https://www.youtube.com/watch?v=OrcRaShjGQk
10,10,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,10,4055345,-0.02%,https://www.youtube.com/watch?v=GwccKjN3OWY
11,7,Eu Me Apaixonei,Vitinho Imperador,35,3958443,-0.09%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
