Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
34,n/a,Mudando de Assunto (En Vivo),Henrique & Juliano,26,1850166,n/a,https://www.youtube.com/watch?v=Yi4MQecGdfA
35,44,Pra Não Pensar em Você (Ao Vivo),Zezé Di Camargo & Luciano,25,1817248,0.01%,https://www.youtube.com/watch?v=JPITxZbf5H4
36,n/a,Poesia Acústica #6: Era Uma Vez,MC Cabelinho & Bob do Contra & Azzy & Filipe Ret & Dudu & Xamã & Orochi & Maquiny & Salve Malak,62,1814237,n/a,https://www.youtube.com/watch?v=jK2k1P56Cno
37,32,Body Splash(Live),Netto Brito,38,1803749,-0.17%,https://www.youtube.com/watch?v=0GLnePaA4e8
38,n/a,PINKY UP,KATSEYE,1,1786801,n/a,https://www.youtube.com/watch?v=7F1ET2XHQfk
39,28,2.0,BTS,3,1667053,-0.26%,https://www.youtube.com/watch?v=_gyultVTesk
40,38,Me Apaixonei Nessa Morena (Ao Vivo),Natanzinho Lima,41,1660864,-0.16%,https://www.youtube.com/watch?v=KzPau_0Ad7o
41,47,Hooligan,BTS,3,1650783,-0.03%,https://www.youtube.com/watch?v=diBO0gMuTXo
42,30,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco(Live), & Claudio Ney & Juliana,9,1616022,-0.26%,https://www.youtube.com/watch?v=0692WFAqRxs
43,36,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,39,1615547,-0.22%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
44,41,Um Centímetro (feat. Juninho Moraes),Toque Dez,23,1612221,-0.11%,https://www.youtube.com/watch?v=UHY_Znbz6zc
45,n/a,É Ele (Ao Vivo),Drops INA,41,1600891,n/a,https://www.youtube.com/watch?v=L3b2gRB7YVc
46,50,Arrependidaço (Onde Você Anda),Ferrugem,5,1564282,-0.05%,https://www.youtube.com/watch?v=mILYtp4UHIQ
47,42,Talvez você precise de mim,Veigh & Supernova Ent,29,1553784,-0.14%,https://www.youtube.com/watch?v=V2M1Xx50arE
48,31,NO BATIDÃO,ZXKAI & slxughter,25,1551173,-0.29%,https://www.youtube.com/watch?v=GXioir-fujY
49,48,Um Novo Dia (Ao Vivo),Get Worship & Get Records & Melk Villar & Vinicius Cruz,37,1513828,-0.11%,https://www.youtube.com/watch?v=6NvkZY-va0E
50,43,Brega Funk dos Rosa (feat. Katlen & Leozinn),Void & Robson abreu & Emilly Vick,20,1467403,-0.18%,https://www.youtube.com/watch?v=qgz-ydhRs4s
51,63,Beatriz,2ZDinizz & Leborato & HHR,4,1454785,0.05%,https://www.youtube.com/watch?v=NqXnR4a3Tcw
52,79,Peão Todo Tatuado,Jeninho & Mariana Fagundes,3,1435956,0.19%,https://www.youtube.com/watch?v=2yreX_ZCfgM
53,69,Não Me Deixe Esquecer (Ao Vivo),Valesca Mayssa,5,1426937,0.09%,https://www.youtube.com/watch?v=xkQCzSNRGCs
54,n/a,Bola Uma Vela (Trava Chip),MC MENO K & DJ Yuri Pedrada,2,1419810,n/a,https://www.youtube.com/watch?v=28rBMPNMbOQ
55,55,Calcinha de Renda (Ao Vivo),Panda & Gusttavo Lima & MJ Records,14,1419317,-0.05%,https://www.youtube.com/watch?v=GVSS3lh_lCY
56,n/a,Se Eu Fosse Você (Ao Vivo),Henrique & Juliano,25,1409479,n/a,https://www.youtube.com/watch?v=tsyETGFUXiI
57,45,SWIM,BTS,4,1401204,-0.2%,https://www.youtube.com/watch?v=b4iVv91Z6lY
58,n/a,Ruim de Coração,Zé Felipe,1,1397155,n/a,https://www.youtube.com/watch?v=_fH1AZ7yDlc
59,n/a,BRIGA FEIA (Ao Vivo),Henrique & Juliano & Juliano,47,1392237,n/a,https://www.youtube.com/watch?v=zpib0LxEOxU
60,74,Melô De Poucas Ideias (Reggae Funk),DJ SLK Sucessada & mc k.k & Mc Marsha & Lockdown Produtora,4,1358155,0.11%,https://www.youtube.com/watch?v=LVrcgaE_B10
61,n/a,Se Saudade Sentir (Se Prepara 3),Mc Livinho & MC Pedrinho & Perera Dj & DJ Jb Mix,1,1353954,n/a,https://www.youtube.com/watch?v=LfttzDVsyqQ
62,72,Raindance,Dave & Tems,3,1348129,0.08%,https://www.youtube.com/watch?v=SOJpE1KMUbo
63,56,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,14,1343824,-0.1%,https://www.youtube.com/watch?v=OGzvLeq6too
64,66,Semi Nua 2 (feat. MC GP MC Ryan SP MC Willian DJ Guh Mix DU'L MC RN do Capão & Marquinho No Beat),Mc Iguinho Ct & Mc Negão Original & Aaron Modesto & Mc Dena,6,1328027,-0.02%,https://www.youtube.com/watch?v=RREZkww4imw
65,77,É Tudo Sobre Você / Ser Mudado (Ao Vivo),MORADA,14,1321624,0.09%,https://www.youtube.com/watch?v=UnEd_pFGWGw
66,52,VEM CAVALGANDO VAI CAVALONA,MC Menor MT & MC Lindão & DJ JHOW BEATS,4,1315454,-0.19%,https://www.youtube.com/watch?v=9TEvvYXFkSU
67,78,Sweet Child O' Mine,Guns N' Roses,12,1295579,0.07%,https://www.youtube.com/watch?v=1w7OgIMMRc4
68,68,Cheiro De Culpado (Ao Vivo),Júnior e Cézar,16,1268967,-0.05%,https://www.youtube.com/watch?v=gWYIo3l1oQ4
69,87,Xota Agua Xau Bom Dia,Danado do Recife & Escama Reels & Zoinho no Beat & mc lysa,6,1263991,0.13%,https://www.youtube.com/watch?v=5Dm8xr8MzDs
70,62,Nome Proibido,Rey Vaqueiro,12,1226830,-0.12%,https://www.youtube.com/watch?v=5yrZab1iEXA
71,n/a,Cadeira Cativa (Ao Vivo),Zé Neto & Cristiano,1,1210548,n/a,https://www.youtube.com/watch?v=lBDDMrUCz1A
72,n/a,A Tua Palavra,Larissa Pires,1,1201126,n/a,https://www.youtube.com/watch?v=5GqS-t-Ryhc
73,97,Ore Mais,Angélica Azevedo,9,1194408,0.16%,https://www.youtube.com/watch?v=Q_9eQBWC8O4
74,n/a,Vem Cá,Pelé MilFlows,27,1186571,n/a,https://www.youtube.com/watch?v=lV2plyhSRBU
75,75,Irmão da Lua Amigo das Estrelas,Zezé Di Camargo & Luciano,6,1179581,-0.04%,https://www.youtube.com/watch?v=n7RoCG6O0Ew
76,n/a,Lobo da Madrugada,Mc Poze do Rodo & MC MENO K & MC Rodrigo do CN & MC Ryan SP & Bielzin & DJ Japa NK & DJ ANDRABEAT,1,1171111,n/a,https://www.youtube.com/watch?v=zg5VbFicGC8
77,61,Não Me Faça Chorar (Ao Vivo),Priscila Senna & Pablo,15,1170188,-0.17%,https://www.youtube.com/watch?v=tfiHm1cbxe4
78,67,IMPERFEITO,Seven Plus & Rayssa Andreoli,11,1165048,-0.14%,https://www.youtube.com/watch?v=GneZr6ZXcnE
79,n/a,Era eu / Eu Te Vejo Em Tudo (Acústico),Felipe Rodrigues,1,1146441,n/a,https://www.youtube.com/watch?v=9ptYUXNP-xQ
80,65,Resenha Na Laje,KEW & DJGILCASTRO,10,1145029,-0.16%,https://www.youtube.com/watch?v=O7buVI-wk9I
81,84,Ignora (Ao Vivo),Felipe & Rodrigo,15,1141775,0.01%,https://www.youtube.com/watch?v=y15gPbntaLE
82,76,Babydoll,Dominic Fike,2,1120834,-0.08%,https://www.youtube.com/watch?v=-J2rSm8K9_Y
83,n/a,Cuida Bem Dela (Ao Vivo),Henrique & Juliano,3,1117267,n/a,https://www.youtube.com/watch?v=2Q6eFRuYa2w
84,64,Oh Quão Lindo Esse Nome É (Ao Vivo),Felipe Rodrigues,2,1108843,-0.2%,https://www.youtube.com/watch?v=fQZjavJe_uo
85,90,Gnarly,KATSEYE,23,1107933,0.01%,https://www.youtube.com/watch?v=R2-yomhYAj4
86,96,Sinônimos,Chitãozinho & Xororó & Zé Ramalho,11,1098302,0.06%,https://www.youtube.com/watch?v=URN-Ikkc4CI
87,n/a,Baby (feat. Ludacris),Justin Bieber,1,1092431,n/a,https://www.youtube.com/watch?v=kffacxfA7G4
88,n/a,Na Hora da Raiva,Henrique & Juliano,23,1089506,n/a,https://www.youtube.com/watch?v=X8jD3F9PI7Q
89,91,Iris,The Goo Goo Dolls,3,1083878,0%,https://www.youtube.com/watch?v=NdYWuo9OFAw
90,81,Set Dj 2W 03 (feat. MC TAIRON MC Kaio & Mc Josh),MC Luan da BS & DJ 2w & MC Rick & MC Braz,3,1082443,-0.07%,https://www.youtube.com/watch?v=flea4LtQ34M
91,85,P.I.T.T.Y. (Parecendo Uma Cafetina),NandaTsunami & Stick & Bvga Beatz & Torelli,12,1078626,-0.03%,https://www.youtube.com/watch?v=LcldH2JNN8U
92,n/a,November Rain,Guns N' Roses,2,1076602,n/a,https://www.youtube.com/watch?v=8SbUC-UaAxE
93,n/a,Imprevisto,Yago Oproprio & Skeeter Beats & Rô Rosa,18,1075924,n/a,https://www.youtube.com/watch?v=EbVV9FDxM4c
94,94,Calafrio,DJ KN DE VILA VELHA & DJ Arana & MC Ryan SP & MC Jvila & Vulgo FK,5,1068141,0.01%,https://www.youtube.com/watch?v=YeuMTbTsAF8
95,n/a,Quem Ama Sempre Entende (Ao Vivo),Henrique & Juliano,13,1061018,n/a,https://www.youtube.com/watch?v=OzDkgc9bVhQ
96,95,That's My Way (feat. Seu Jorge & Leon Mobley),Edi Rock,6,1058092,0.01%,https://www.youtube.com/watch?v=ysfm_adxRrI
97,98,Todas As Coisas (Ao Vivo),Fernandinho,17,1056420,0.02%,https://www.youtube.com/watch?v=HrdDc0no4Jw
98,86,Anjos (Pra quem tem fé),O Rappa,7,1047605,-0.06%,https://www.youtube.com/watch?v=BPbCLtBl_g4
99,51,Chatão (feat. Mc Negão Original & MC Ryan SP),MC Lele JP & Dj Oreia & Mc DR & Gubeatz,13,1044735,-0.36%,https://www.youtube.com/watch?v=7UllbN9itGM
100,n/a,Jeová Jireh,Aline Barros,33,1044528,n/a,https://www.youtube.com/watch?v=YyFd_dXy494
