Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC MENO K & MC Ryan SP & MC Tuto & Mc Negão Original,23,9337190,0.03%,https://www.youtube.com/watch?v=WQHYbOy7H2g
2,2,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,12,7762702,-0.09%,https://www.youtube.com/watch?v=hToGSAFPwds
3,6,Famoso Ímã | O poderoso chatão,MC Lele JP & Mc Poze do Rodo & MC Leozinho ZS & Dj Gordinho da VF,3,7193598,0.37%,https://www.youtube.com/watch?v=ODijwjs8Qvc
4,4,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,10,6092170,-0.13%,https://www.youtube.com/watch?v=rIuKKV06CZA
5,3,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,17,6052980,-0.2%,https://www.youtube.com/watch?v=7CF5qbw8zec
6,5,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,28,4823103,-0.11%,https://www.youtube.com/watch?v=ztC8bM-EYOg
7,9,Se Eu Ficar Pá Nem Me Testa (feat. Mc Negão Original MC ALAN JR Menor richard MC IG & DJ Japa NK),Mc J9 & MC Ryan SP & DJ Guh Mix & MC Don Juan,7,4571799,0.1%,https://www.youtube.com/watch?v=OrcRaShjGQk
8,7,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,50,4075063,-0.15%,https://www.youtube.com/watch?v=eAIivxKZYZw
9,8,Tudo É Perda (Ao Vivo),Felipe Rodrigues,23,3693578,-0.18%,https://www.youtube.com/watch?v=qxzQR5uwWsk
10,10,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,11,3519787,-0.13%,https://www.youtube.com/watch?v=GwccKjN3OWY
11,13,Gauchinha (feat. MC LUUKY),DJ Japa NK & MC MENO K & MC Ryan SP & MC Brinquedo,17,3300942,-0.13%,https://www.youtube.com/watch?v=ps7k1q7PbA4
12,15,Amo Minha Favela,DJ Japa NK & MC MENO K,18,3257814,-0.12%,https://www.youtube.com/watch?v=xVxFGVNJvdY
13,11,Eu Me Apaixonei,Vitinho Imperador,36,3205234,-0.19%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
14,12,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,33,3184780,-0.19%,https://www.youtube.com/watch?v=_zKnEm9xPWw
15,20,Foi por Conveniência,Marília Mendonça,17,3103579,-0.04%,https://www.youtube.com/watch?v=Dt13Wv6Opeo
16,22,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,22,3101303,0.06%,https://www.youtube.com/watch?v=QbdcQV63c2Y
17,19,Quem É Esse?(Live),Julliany Souza,48,2985584,-0.09%,https://www.youtube.com/watch?v=0ZF5em0MTwY
18,21,Eu Te Seguro (Ao Vivo),Panda & MJ Records,25,2974438,-0.07%,https://www.youtube.com/watch?v=kI6ywewtYkc
19,18,A Cena,Netto Brito & Pablo,7,2957087,-0.1%,https://www.youtube.com/watch?v=I462VchM2lU
20,17,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & Dj Gordinho da VF,28,2642041,-0.23%,https://www.youtube.com/watch?v=tWjTNxAvlLk
21,14,Primeira Essência (Ao Vivo),Felipe Rodrigues,24,2605582,-0.3%,https://www.youtube.com/watch?v=eO9dUp5goWo
22,24,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,29,2420338,-0.11%,https://www.youtube.com/watch?v=hQskOv9b_kg
23,37,Um Beijo por Minuto (25 Milhões) (Ao Vivo),Natanzinho Lima,4,2369160,0.19%,https://www.youtube.com/watch?v=6NfinN3Gg-A
24,23,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,34,2359929,-0.18%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
25,25,Lembrei de Tu,MC MENO K & Oruam & Fepache,9,2352131,-0.12%,https://www.youtube.com/watch?v=StGgzGjZ67Y
26,n/a,Sina de Ofélia,Heitor Santos,1,2281162,n/a,https://www.youtube.com/watch?v=t8cSsx7WBio
27,n/a,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & ,1,2237700,n/a,https://www.youtube.com/watch?v=AfJm4CtlcWA
28,39,Dizeres,Orgânico & Lourena & Sant & Léo Casa 1 & Rap Box,5,2138981,0.08%,https://www.youtube.com/watch?v=lxhqCcrnTv4
29,29,10 Minutos de Freestyle,Oruam & LeodoKick & Gigant,15,2125541,-0.04%,https://www.youtube.com/watch?v=_Lt9ZomgPCQ
30,34,Amor Dos Outros (Ao Vivo),Henrique & Juliano,39,2029778,-0.06%,https://www.youtube.com/watch?v=0kiCQLdfgVg
31,27,Sonho de Amor (Ao Vivo),Natanzinho Lima,34,1930559,-0.15%,https://www.youtube.com/watch?v=VnPB-H7Zo7Y
32,26,PEGA A MALDADE DA BANDIDA,Dj Luan Gomes & Mc Ws da leste & Delleon & Tropa da W&S,11,1917285,-0.23%,https://www.youtube.com/watch?v=FYz81lpGwsQ
33,33,Que Se Foda o Cupido (feat. MC Cabelinho & MC MENO K),MC Ryan SP & Mc Poze do Rodo & DJ Japa NK & DJ WILL TN,2,1852059,-0.15%,https://www.youtube.com/watch?v=I12HAv0ledo
