Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,11,12207464,-0.09%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,17,10328140,0%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,3,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,6,8214598,0.06%,https://www.youtube.com/watch?v=hToGSAFPwds
4,4,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,22,7294609,-0.05%,https://www.youtube.com/watch?v=ztC8bM-EYOg
5,8,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,4,5759264,0.2%,https://www.youtube.com/watch?v=rIuKKV06CZA
6,5,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,27,5573200,-0.1%,https://www.youtube.com/watch?v=_zKnEm9xPWw
7,6,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,44,5508719,-0.07%,https://www.youtube.com/watch?v=eAIivxKZYZw
8,7,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,5,4865368,-0.1%,https://www.youtube.com/watch?v=GwccKjN3OWY
9,9,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,22,4802529,0.03%,https://www.youtube.com/watch?v=tWjTNxAvlLk
10,10,Eu Me Apaixonei,Vitinho Imperador,30,4408110,-0.04%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
11,11,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,28,3953185,-0.06%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
12,12,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,16,3910085,0%,https://www.youtube.com/watch?v=QbdcQV63c2Y
13,17,Tubarões (Ao Vivo),Diego & Victor Hugo,52,3656869,0.07%,https://www.youtube.com/watch?v=10XarNSkw0s
14,14,Quem É Esse?(Live),Julliany Souza,42,3643047,-0.03%,https://www.youtube.com/watch?v=0ZF5em0MTwY
15,16,PEGA A MALDADE DA BANDIDA,Dj Luan Gomes & Mc Ws da leste & Delleon & Tropa da W&S,5,3603333,0.03%,https://www.youtube.com/watch?v=FYz81lpGwsQ
16,15,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,23,3525326,0%,https://www.youtube.com/watch?v=hQskOv9b_kg
17,20,Gauchinha (feat. MC LUUKY),DJ Japa NK & MC MENO K & MC Ryan SP & MC Brinquedo,11,3366917,0.06%,https://www.youtube.com/watch?v=ps7k1q7PbA4
18,19,Amo Minha Favela,DJ Japa NK & MC MENO K,12,3334186,0.01%,https://www.youtube.com/watch?v=xVxFGVNJvdY
19,18,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,8,3281614,-0.04%,https://www.youtube.com/watch?v=OGzvLeq6too
20,13,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,33,3083925,-0.19%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
21,23,Eu Te Seguro (Ao Vivo),Panda & MJ Records,19,2963616,0.05%,https://www.youtube.com/watch?v=kI6ywewtYkc
22,n/a,A Cena,Netto Brito & Pablo,1,2885002,n/a,https://www.youtube.com/watch?v=I462VchM2lU
23,25,Tudo É Perda (Ao Vivo),Felipe Rodrigues,17,2841841,0.02%,https://www.youtube.com/watch?v=qxzQR5uwWsk
24,28,Amor Dos Outros (Ao Vivo),Henrique & Juliano,33,2773802,0.08%,https://www.youtube.com/watch?v=0kiCQLdfgVg
25,22,Brega Funk dos Rosa (feat. Katlen & Leozinn),Void & Robson Abreu & Emilly Vick,14,2592008,-0.1%,https://www.youtube.com/watch?v=qgz-ydhRs4s
26,24,NO BATIDÃO,ZXKAI & slxughter,19,2589703,-0.07%,https://www.youtube.com/watch?v=GXioir-fujY
27,27,Sonho de Amor (Ao Vivo),Natanzinho Lima,28,2545401,-0.02%,https://www.youtube.com/watch?v=VnPB-H7Zo7Y
28,21,Lembrei de Tu,MC MENO K & Oruam & Fepache,3,2544296,-0.13%,https://www.youtube.com/watch?v=StGgzGjZ67Y
29,29,Saudade Proibida (Ao Vivo),Simone Mendes,47,2526913,0.02%,https://www.youtube.com/watch?v=uEtGTq92Cmk
30,34,Até Você Voltar (Ao Vivo),Henrique & Juliano,47,2520960,0.09%,https://www.youtube.com/watch?v=S6JpneypYvc
31,31,Body Splash(Live),Netto Brito,32,2496244,0.04%,https://www.youtube.com/watch?v=0GLnePaA4e8
32,36,História de um Amigo Meu (Ao Vivo),MC Leozinho ZS & MC Neguinho do Kaxeta,18,2459098,0.09%,https://www.youtube.com/watch?v=nJelgv6tUUA
33,32,Santo Pra Sempre (Ao Vivo),Fernandinho,47,2331716,-0.03%,https://www.youtube.com/watch?v=u2FOGNSJfX8
34,35,Um Centímetro (feat. Juninho Moraes),Toque Dez,17,2319514,0.02%,https://www.youtube.com/watch?v=UHY_Znbz6zc
35,33,Me Apaixonei Nessa Morena (Ao Vivo),Natanzinho Lima,35,2210179,-0.07%,https://www.youtube.com/watch?v=KzPau_0Ad7o
36,26,Um Novo Dia (Ao Vivo),Get Worship & Get Records & Melk Villar & Vinicius Cruz,31,2191004,-0.21%,https://www.youtube.com/watch?v=6NvkZY-va0E
37,37,Talvez você precise de mim,Veigh & Supernova Ent,23,2184388,-0.01%,https://www.youtube.com/watch?v=V2M1Xx50arE
38,38,Resenha Na Laje,KEW & DJGILCASTRO,4,2183612,0.02%,https://www.youtube.com/watch?v=O7buVI-wk9I
39,n/a,GO,BLACKPINK,1,1960933,n/a,https://www.youtube.com/watch?v=2GJfWMYCWY0
40,39,Até Quebrar a Cama 2.0,cjnobeat & Mc Morena & MC GW,27,1943293,-0.09%,https://www.youtube.com/watch?v=sRc1Fh0y3ZI
41,49,Mudando de Assunto (En Vivo),Henrique & Juliano,22,1749775,0.08%,https://www.youtube.com/watch?v=Yi4MQecGdfA
42,45,Baqueado (Ao Vivo),Panda & Ícaro e Gilmar,30,1731452,0.02%,https://www.youtube.com/watch?v=imPS7DMbx0Q
43,47,10 Minutos de Freestyle,Oruam & LeodoKick & Gigant,9,1715343,0.05%,https://www.youtube.com/watch?v=_Lt9ZomgPCQ
44,46,Ignora (Ao Vivo),Felipe & Rodrigo,9,1694200,0.03%,https://www.youtube.com/watch?v=y15gPbntaLE
45,60,MATADORA,DJ Asul,2,1661655,0.21%,https://www.youtube.com/watch?v=9jSq99uN7q0
46,40,Melzinho,Talita Mel & Xand Avião,37,1653251,-0.14%,https://www.youtube.com/watch?v=tvPSPkugS7A
47,48,Primeira Essência (Ao Vivo),Felipe Rodrigues,19,1645350,0.01%,https://www.youtube.com/watch?v=eO9dUp5goWo
48,41,Vingança,Emilly Vick & Void,35,1644079,-0.08%,https://www.youtube.com/watch?v=3nYntR_BmD0
49,50,Meu Jeito de Amar,Theuzinho,46,1642215,0.04%,https://www.youtube.com/watch?v=24Ca5PoINOE
50,56,Não Me Faça Chorar (Ao Vivo),Priscila Senna & Pablo,9,1601790,0.09%,https://www.youtube.com/watch?v=tfiHm1cbxe4
51,54,Dally (feat. Maneirinho Do Recife Mc Balakinha & Biel Xcamoso),Shevchenko e Elloco,20,1599975,0.06%,https://www.youtube.com/watch?v=K6thL9Pz3gA
52,51,GOZALO (Ultra Slowed),Ariis,9,1593964,0.01%,https://www.youtube.com/watch?v=GkqzojRVtGo
53,52,Estrela (Ao Vivo),Rey Vaqueiro & Zé Vaqueiro,16,1563108,0%,https://www.youtube.com/watch?v=BpayGeuxgBM
54,57,MONTAGEM REBOLA,ATLXS & DJ FKU,9,1532605,0.05%,https://www.youtube.com/watch?v=0Ib0ZtLILys
55,n/a,Se Eu Ficar Pá Nem Me Testa (feat. Mc Negão Original MC ALAN JR Menor richard MC IG & DJ Japa NK),Mc J9 & MC Ryan SP & DJ Guh Mix & MC Don Juan,1,1529220,n/a,https://www.youtube.com/watch?v=OrcRaShjGQk
56,63,Baile do VJ,Eduardinho dos Teclados,4,1521949,0.15%,https://www.youtube.com/watch?v=sgT8g3IwPTE
57,44,Chatão (feat. Mc Negão Original & MC Ryan SP),MC Lele JP & Dj Oreia & Mc DR & Gubeatz,7,1483025,-0.15%,https://www.youtube.com/watch?v=7UllbN9itGM
58,59,Cheiro De Culpado (Ao Vivo),Júnior e Cézar,10,1474894,0.06%,https://www.youtube.com/watch?v=gWYIo3l1oQ4
59,30,Garupão,Void & Luan Pereira & Rafael Garcez,2,1473099,-0.4%,https://www.youtube.com/watch?v=GD7K82o6zRA
60,62,Calcinha de Renda (Ao Vivo),Panda & Gusttavo Lima & MJ Records,8,1460709,0.1%,https://www.youtube.com/watch?v=GVSS3lh_lCY
61,n/a,Risk It All,Bruno Mars,1,1450145,n/a,https://www.youtube.com/watch?v=lY5V4hSLWY8
62,55,Saudade do Carai,Mari Fernandez & Grelo & Natanzinho Lima,15,1427635,-0.04%,https://www.youtube.com/watch?v=yc4j-pIq20M
63,66,Se Eu Te Perdoar,Netto Brito,8,1414113,0.12%,https://www.youtube.com/watch?v=qsVG64XB1PY
64,73,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco(Live),Filho do Piseiro & Claudio Ney & Juliana,3,1388915,0.16%,https://www.youtube.com/watch?v=0692WFAqRxs
65,64,Caos De Alguém (Ao Vivo),Felipe & Rodrigo,13,1330953,0.03%,https://www.youtube.com/watch?v=cdrEO7pIQXk
66,65,Nome Proibido,Rey Vaqueiro,6,1327650,0.05%,https://www.youtube.com/watch?v=5yrZab1iEXA
67,n/a,Lobo da Matilha,MC Leozinho ZS & MC Diogo da vn,1,1317997,n/a,https://www.youtube.com/watch?v=yfohASmxT-M
68,82,Eu Vou Cuspir,DJ YAN MARIOTO & Mc Marlon Ph & BIG MC,5,1310124,0.19%,https://www.youtube.com/watch?v=7YYd6g-ESlk
69,81,Biometria,Netto Brito,16,1307742,0.18%,https://www.youtube.com/watch?v=bS9r47RA_To
70,77,P.I.T.T.Y. (Parecendo Uma Cafetina),NandaTsunami & Stick & Bvga Beatz & Torelli,6,1305990,0.14%,https://www.youtube.com/watch?v=LcldH2JNN8U
71,61,Ela Sai de Provocação,MC Don Juan & Boladin 211 & Dj Felipe Maia & Dj Kaioken,10,1303798,-0.03%,https://www.youtube.com/watch?v=XFo7RaOhpHw
72,86,Foi por Conveniência,Marília Mendonça,11,1292077,0.21%,https://www.youtube.com/watch?v=Dt13Wv6Opeo
73,71,É Tudo Sobre Você / Ser Mudado (Ao Vivo),MORADA,8,1261058,0.04%,https://www.youtube.com/watch?v=UnEd_pFGWGw
74,68,Quem Ama Sempre Entende (Ao Vivo),Henrique & Juliano,8,1232867,0%,https://www.youtube.com/watch?v=OzDkgc9bVhQ
75,53,Pilota,Void,5,1216991,-0.21%,https://www.youtube.com/watch?v=I8djDExYcAA
76,58,Treme o Bumbum,MC Leléto,9,1215981,-0.16%,https://www.youtube.com/watch?v=U6rK_v1il90
77,91,Raparigas,Filho do Piseiro,3,1213014,0.17%,https://www.youtube.com/watch?v=FvNmjVQwE0o
78,79,Sua Vez de Terminar (Ao Vivo),Toque Dez,10,1200914,0.07%,https://www.youtube.com/watch?v=IEDvym28mlA
79,67,Vaqueirão (Ao Vivo),Manim Vaqueiro & Talita Mel,9,1184092,-0.04%,https://www.youtube.com/watch?v=9L-VsOwhlXY
80,42,Marquinha De Fitinha (Ao Vivo),Léo Santana,5,1173644,-0.33%,https://www.youtube.com/watch?v=cxym1Hf9x5k
81,76,The Fate of Ophelia,Taylor Swift,19,1111178,-0.04%,https://www.youtube.com/watch?v=ko70cExuzZM
82,84,Fazer Macete,Afinho do Fluxo & Arthurzinho batedeira & MC Cauazim & Mc Fininho Da RC & Mc Nick,10,1105727,0.03%,https://www.youtube.com/watch?v=-yoUW90xZck
83,43,Fanatismo,YASMIN SENSAÇÃO,12,1097185,-0.37%,n/a
84,70,Me Refaz (Ao Vivo),Ministério Pra Tua Glória,13,1095924,-0.11%,https://www.youtube.com/watch?v=lI8OpUT3NmQ
85,89,Passinho do Japonês,MC Loma e as Gêmeas Lacração,7,1072471,0.02%,https://www.youtube.com/watch?v=TPjefAA7TlA
86,90,Eu Vou Fazer (Ao Vivo),Kailane Frauches,7,1066418,0.02%,https://www.youtube.com/watch?v=w2pP1DYZSTg
87,94,Dois Gumes (Ao Vivo),Felipe & Rodrigo,2,1046172,0.03%,https://www.youtube.com/watch?v=MuJJm9kqopk
88,69,Treme o Popozão,MC Leléto & Leléto Records,6,1040164,-0.15%,https://www.youtube.com/watch?v=-gyG8PWHa9k
89,88,Imprevisto,Yago Oproprio & Skeeter Beats & Rô Rosa,13,1033884,-0.02%,https://www.youtube.com/watch?v=EbVV9FDxM4c
90,96,Sweet Child O' Mine,Guns N' Roses,6,1032761,0.03%,https://www.youtube.com/watch?v=1w7OgIMMRc4
91,95,Pedido De Socorro (Ao Vivo),Gustavo Mioto,8,1030491,0.02%,https://www.youtube.com/watch?v=Hv53XBYeK7E
92,80,2026,MC Tuto & Dj Oreia,10,1028431,-0.08%,https://www.youtube.com/watch?v=lsTfgv6JkDs
93,97,Lua Cheia,Marina Sena,6,1022738,0.02%,https://www.youtube.com/watch?v=q0u47Nl7N7M
94,100,Ritmo Lilly Wood,dj mtn & DJ ML ORIGINAL & DJ LKC ORIGINAL & MC Star RJ & FreesTyle Sounds,3,1017346,0.03%,https://www.youtube.com/watch?v=iDBPrs9YGHg
95,n/a,O Maior Vilão Sou Eu,Sarah Beatriz,3,1015299,n/a,https://www.youtube.com/watch?v=1lMFElbRIos
96,n/a,Ore Mais,Angélica Azevedo,3,1012538,n/a,https://www.youtube.com/watch?v=Q_9eQBWC8O4
97,75,Pipoca,Emilly Vick & Robson Abreu,6,997935,-0.14%,https://www.youtube.com/watch?v=URaYG2qG30U
98,n/a,A Morte do Autotune,Matuê,3,997500,n/a,https://www.youtube.com/watch?v=CUFMfGu1yQc
99,n/a,Nada É para Sempre,Desejo de Menina,1,997292,n/a,https://www.youtube.com/watch?v=N0W-bLwqVDA
100,n/a,10 SEGUNDOS,Luan Pereira & Panda,1,986771,n/a,https://www.youtube.com/watch?v=B9bD8Ts0C7A
