Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,9,17715119,0.17%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,15,11282017,0.04%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,3,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,20,8945380,0.05%,https://www.youtube.com/watch?v=ztC8bM-EYOg
4,4,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,25,8111580,0.19%,https://www.youtube.com/watch?v=_zKnEm9xPWw
5,7,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,4,7644859,0.38%,https://www.youtube.com/watch?v=hToGSAFPwds
6,5,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,42,7453331,0.16%,https://www.youtube.com/watch?v=eAIivxKZYZw
7,6,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,20,5985676,-0.03%,https://www.youtube.com/watch?v=tWjTNxAvlLk
8,8,Eu Me Apaixonei,Vitinho Imperador,28,5927918,0.12%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
9,11,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,31,5825887,0.34%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
10,10,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,26,5250886,0.17%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
11,9,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,14,4903729,-0.03%,https://www.youtube.com/watch?v=QbdcQV63c2Y
12,19,Gauchinha (feat. MC LUUKY),DJ Japa NK & MC MENO K & MC Ryan SP & MC Brinquedo,9,4364783,0.36%,https://www.youtube.com/watch?v=ps7k1q7PbA4
13,12,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,21,4135402,0.02%,https://www.youtube.com/watch?v=hQskOv9b_kg
14,14,Tubarões (Ao Vivo),Diego & Victor Hugo,50,4018512,0.08%,https://www.youtube.com/watch?v=10XarNSkw0s
15,17,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,3,3929420,0.11%,https://www.youtube.com/watch?v=GwccKjN3OWY
16,48,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,2,3853429,1.25%,https://www.youtube.com/watch?v=rIuKKV06CZA
17,15,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,6,3842296,0.04%,https://www.youtube.com/watch?v=OGzvLeq6too
18,13,Amo Minha Favela,DJ Japa NK & MC MENO K,10,3812437,0.01%,https://www.youtube.com/watch?v=xVxFGVNJvdY
19,18,PEGA A MALDADE DA BANDIDA,Dj Luan Gomes & Mc Ws da leste & Delleon & Tropa da W&S,3,3785384,0.13%,https://www.youtube.com/watch?v=FYz81lpGwsQ
20,16,Quem É Esse?(Live),Julliany Souza,40,3618002,0.01%,https://www.youtube.com/watch?v=0ZF5em0MTwY
21,21,Sonho de Amor (Ao Vivo),Natanzinho Lima,26,3404232,0.1%,https://www.youtube.com/watch?v=VnPB-H7Zo7Y
22,20,Brega Funk dos Rosa (feat. Katlen & Leozinn),Void & Robson Abreu & Emilly Vick,12,3402368,0.09%,https://www.youtube.com/watch?v=qgz-ydhRs4s
23,56,Marquinha De Fitinha (Ao Vivo),Léo Santana,3,3219313,1.06%,https://www.youtube.com/watch?v=cxym1Hf9x5k
24,23,NO BATIDÃO,ZXKAI & slxughter,17,3179226,0.08%,https://www.youtube.com/watch?v=GXioir-fujY
25,26,Me Apaixonei Nessa Morena (Ao Vivo),Natanzinho Lima,33,3171913,0.14%,https://www.youtube.com/watch?v=KzPau_0Ad7o
26,22,Eu Te Seguro (Ao Vivo),Panda & MJ Records,17,3080645,0.03%,https://www.youtube.com/watch?v=kI6ywewtYkc
27,28,Body Splash(Live),Netto Brito,30,3048173,0.14%,https://www.youtube.com/watch?v=0GLnePaA4e8
28,24,Amor Dos Outros (Ao Vivo),Henrique & Juliano,31,2927939,0.03%,https://www.youtube.com/watch?v=0kiCQLdfgVg
29,30,Saudade Proibida (Ao Vivo),Simone Mendes,45,2843631,0.14%,https://www.youtube.com/watch?v=uEtGTq92Cmk
30,25,Um Novo Dia (Ao Vivo),Get Worship & Get Records & Melk Villar & Vinicius Cruz,29,2782695,-0.01%,https://www.youtube.com/watch?v=6NvkZY-va0E
31,27,Um Centímetro (feat. Juninho Moraes),Toque Dez,15,2773252,0.04%,https://www.youtube.com/watch?v=UHY_Znbz6zc
32,69,CARNAVAL,Marina Sena,2,2709723,1.03%,https://www.youtube.com/watch?v=jX-Bb5ATnUc
33,36,Resenha Na Laje,KEW & DJGILCASTRO,2,2675488,0.24%,https://www.youtube.com/watch?v=O7buVI-wk9I
34,32,Até Quebrar a Cama 2.0,cjnobeat & Mc Morena & MC GW,25,2562031,0.08%,https://www.youtube.com/watch?v=sRc1Fh0y3ZI
35,29,História de um Amigo Meu (Ao Vivo),MC Leozinho ZS & MC Neguinho do Kaxeta,16,2457545,-0.03%,https://www.youtube.com/watch?v=nJelgv6tUUA
36,35,Dally (feat. Maneirinho Do Recife Mc Balakinha & Biel Xcamoso),Shevchenko e Elloco,18,2423663,0.11%,https://www.youtube.com/watch?v=K6thL9Pz3gA
37,34,Até Você Voltar (Ao Vivo),Henrique & Juliano,45,2418910,0.06%,https://www.youtube.com/watch?v=S6JpneypYvc
38,n/a,Lembrei de Tu,MC MENO K & Oruam & Fepache,1,2414061,n/a,https://www.youtube.com/watch?v=StGgzGjZ67Y
39,33,Tudo É Perda (Ao Vivo),Felipe Rodrigues,15,2405321,0.02%,https://www.youtube.com/watch?v=qxzQR5uwWsk
40,45,Talvez você precise de mim,Veigh & Supernova Ent,21,2279423,0.25%,https://www.youtube.com/watch?v=V2M1Xx50arE
41,92,Vagabundo,Gusttavo Lima & Luis Fonsi,19,2242613,1.15%,https://www.youtube.com/watch?v=aaLYhwadeE0
42,41,Melzinho,Talita Mel & Xand Avião,35,2192260,0.16%,https://www.youtube.com/watch?v=tvPSPkugS7A
43,37,Santo Pra Sempre (Ao Vivo),Fernandinho,45,2105959,0.02%,https://www.youtube.com/watch?v=u2FOGNSJfX8
44,39,Vingança,Emilly Vick & Void,33,2092282,0.1%,https://www.youtube.com/watch?v=3nYntR_BmD0
45,n/a,Diga Que Valeu (Ao Vivo),Bell Marques,5,1961920,n/a,https://www.youtube.com/watch?v=Z6yKTRQcfYE
46,44,Meu Jeito de Amar,Theuzinho,44,1947420,0.05%,https://www.youtube.com/watch?v=24Ca5PoINOE
47,38,Treme o Bumbum,MC Leléto,7,1894717,-0.02%,https://www.youtube.com/watch?v=U6rK_v1il90
48,50,Búfalo do Marajó,O Muriel,31,1871215,0.12%,https://www.youtube.com/watch?v=1dXgB4-JmKo
49,49,GOZALO (Ultra Slowed),Ariis,7,1860642,0.1%,https://www.youtube.com/watch?v=GkqzojRVtGo
50,n/a,Baqueado (Ao Vivo),Panda & Ícaro e Gilmar,28,1859420,n/a,https://www.youtube.com/watch?v=imPS7DMbx0Q
51,42,Pipoca,Emilly Vick & Robson Abreu,4,1848198,-0.01%,https://www.youtube.com/watch?v=URaYG2qG30U
52,40,Saudade do Carai,Mari Fernandez & Grelo & Natanzinho Lima,13,1830072,-0.04%,https://www.youtube.com/watch?v=yc4j-pIq20M
53,47,Sua Boca Mente (You're Still The One),Zé Felipe & Ana Castela,20,1802011,0.03%,https://www.youtube.com/watch?v=FCMyTR1SJM8
54,63,Ignora (Ao Vivo),Felipe & Rodrigo,7,1769929,0.25%,https://www.youtube.com/watch?v=y15gPbntaLE
55,61,GOSTOSIN,Anitta & Felipe Amorim & HITMAKER,6,1730700,0.22%,https://www.youtube.com/watch?v=w6nNddTCzTM
56,53,Ela Sai de Provocação,MC Don Juan & Boladin 211 & Dj Felipe Maia & Dj Kaioken,8,1729183,0.06%,https://www.youtube.com/watch?v=XFo7RaOhpHw
57,51,Estrela (Ao Vivo),Rey Vaqueiro & Zé Vaqueiro,14,1692319,0.02%,https://www.youtube.com/watch?v=BpayGeuxgBM
58,31,Fanatismo,YASMIN SENSAÇÃO,10,1688828,-0.3%,n/a
59,n/a,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco(Live),Filho do Piseiro & Claudio Ney & Juliana,1,1670932,n/a,https://www.youtube.com/watch?v=0692WFAqRxs
