Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,10,13343044,-0.25%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,16,10346385,-0.08%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,5,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,5,7730229,0.01%,https://www.youtube.com/watch?v=hToGSAFPwds
4,3,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,21,7697945,-0.14%,https://www.youtube.com/watch?v=ztC8bM-EYOg
5,4,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,26,6195609,-0.24%,https://www.youtube.com/watch?v=_zKnEm9xPWw
6,6,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,43,5914302,-0.21%,https://www.youtube.com/watch?v=eAIivxKZYZw
7,15,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,4,5379933,0.37%,https://www.youtube.com/watch?v=GwccKjN3OWY
8,16,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,3,4805238,0.25%,https://www.youtube.com/watch?v=rIuKKV06CZA
9,7,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,21,4681798,-0.22%,https://www.youtube.com/watch?v=tWjTNxAvlLk
10,8,Eu Me Apaixonei,Vitinho Imperador,29,4604624,-0.22%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
11,10,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,27,4200464,-0.2%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
12,11,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,15,3910264,-0.2%,https://www.youtube.com/watch?v=QbdcQV63c2Y
13,9,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,32,3790803,-0.35%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
14,20,Quem É Esse?(Live),Julliany Souza,41,3768543,0.04%,https://www.youtube.com/watch?v=0ZF5em0MTwY
15,13,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,22,3514766,-0.15%,https://www.youtube.com/watch?v=hQskOv9b_kg
16,19,PEGA A MALDADE DA BANDIDA,Dj Luan Gomes & Mc Ws da leste & Delleon & Tropa da W&S,4,3504745,-0.07%,https://www.youtube.com/watch?v=FYz81lpGwsQ
17,14,Tubarões (Ao Vivo),Diego & Victor Hugo,51,3431438,-0.15%,https://www.youtube.com/watch?v=10XarNSkw0s
18,17,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,7,3429569,-0.11%,https://www.youtube.com/watch?v=OGzvLeq6too
19,18,Amo Minha Favela,DJ Japa NK & MC MENO K,11,3307657,-0.13%,https://www.youtube.com/watch?v=xVxFGVNJvdY
20,12,Gauchinha (feat. MC LUUKY),DJ Japa NK & MC MENO K & MC Ryan SP & MC Brinquedo,10,3186604,-0.27%,https://www.youtube.com/watch?v=ps7k1q7PbA4
21,38,Lembrei de Tu,MC MENO K & Oruam & Fepache,2,2908960,0.21%,https://www.youtube.com/watch?v=StGgzGjZ67Y
22,22,Brega Funk dos Rosa (feat. Katlen & Leozinn),Void & Robson Abreu & Emilly Vick,13,2867404,-0.16%,https://www.youtube.com/watch?v=qgz-ydhRs4s
23,26,Eu Te Seguro (Ao Vivo),Panda & MJ Records,18,2816350,-0.09%,https://www.youtube.com/watch?v=kI6ywewtYkc
24,24,NO BATIDÃO,ZXKAI & slxughter,18,2788877,-0.12%,https://www.youtube.com/watch?v=GXioir-fujY
25,39,Tudo É Perda (Ao Vivo),Felipe Rodrigues,16,2772569,0.15%,https://www.youtube.com/watch?v=qxzQR5uwWsk
26,30,Um Novo Dia (Ao Vivo),Get Worship & Get Records & Melk Villar & Vinicius Cruz,30,2763469,-0.01%,https://www.youtube.com/watch?v=6NvkZY-va0E
27,21,Sonho de Amor (Ao Vivo),Natanzinho Lima,27,2603261,-0.24%,https://www.youtube.com/watch?v=VnPB-H7Zo7Y
28,28,Amor Dos Outros (Ao Vivo),Henrique & Juliano,32,2578875,-0.12%,https://www.youtube.com/watch?v=0kiCQLdfgVg
29,29,Saudade Proibida (Ao Vivo),Simone Mendes,46,2484995,-0.13%,https://www.youtube.com/watch?v=uEtGTq92Cmk
30,n/a,Garupão,Void & Luan Pereira & Rafael Garcez,1,2453798,n/a,https://www.youtube.com/watch?v=GD7K82o6zRA
31,27,Body Splash(Live),Netto Brito,31,2404120,-0.21%,https://www.youtube.com/watch?v=0GLnePaA4e8
32,43,Santo Pra Sempre (Ao Vivo),Fernandinho,46,2395740,0.14%,https://www.youtube.com/watch?v=u2FOGNSJfX8
33,25,Me Apaixonei Nessa Morena (Ao Vivo),Natanzinho Lima,34,2382954,-0.25%,https://www.youtube.com/watch?v=KzPau_0Ad7o
34,37,Até Você Voltar (Ao Vivo),Henrique & Juliano,46,2305372,-0.05%,https://www.youtube.com/watch?v=S6JpneypYvc
35,31,Um Centímetro (feat. Juninho Moraes),Toque Dez,16,2270570,-0.18%,https://www.youtube.com/watch?v=UHY_Znbz6zc
36,35,História de um Amigo Meu (Ao Vivo),MC Leozinho ZS & MC Neguinho do Kaxeta,17,2261535,-0.08%,https://www.youtube.com/watch?v=nJelgv6tUUA
37,40,Talvez você precise de mim,Veigh & Supernova Ent,22,2212116,-0.03%,https://www.youtube.com/watch?v=V2M1Xx50arE
38,33,Resenha Na Laje,KEW & DJGILCASTRO,3,2131672,-0.2%,https://www.youtube.com/watch?v=O7buVI-wk9I
39,34,Até Quebrar a Cama 2.0,cjnobeat & Mc Morena & MC GW,26,2126691,-0.17%,https://www.youtube.com/watch?v=sRc1Fh0y3ZI
40,42,Melzinho,Talita Mel & Xand Avião,36,1926353,-0.12%,https://www.youtube.com/watch?v=tvPSPkugS7A
41,44,Vingança,Emilly Vick & Void,34,1785773,-0.15%,https://www.youtube.com/watch?v=3nYntR_BmD0
42,23,Marquinha De Fitinha (Ao Vivo),Léo Santana,4,1747861,-0.46%,https://www.youtube.com/watch?v=cxym1Hf9x5k
43,58,Fanatismo,YASMIN SENSAÇÃO,11,1747264,0.03%,n/a
44,82,Chatão (feat. Mc Negão Original & MC Ryan SP),MC Lele JP & Dj Oreia & Mc DR & Gubeatz,6,1742929,0.32%,https://www.youtube.com/watch?v=7UllbN9itGM
45,50,Baqueado (Ao Vivo),Panda & Ícaro e Gilmar,29,1689920,-0.09%,https://www.youtube.com/watch?v=imPS7DMbx0Q
46,54,Ignora (Ao Vivo),Felipe & Rodrigo,8,1645756,-0.07%,https://www.youtube.com/watch?v=y15gPbntaLE
47,67,10 Minutos de Freestyle,Oruam & LeodoKick & Gigant,8,1636125,0.09%,https://www.youtube.com/watch?v=_Lt9ZomgPCQ
48,60,Primeira Essência (Ao Vivo),Felipe Rodrigues,18,1630918,0.01%,https://www.youtube.com/watch?v=eO9dUp5goWo
49,n/a,Mudando de Assunto (En Vivo),Henrique & Juliano,21,1620854,n/a,https://www.youtube.com/watch?v=Yi4MQecGdfA
50,46,Meu Jeito de Amar,Theuzinho,45,1575385,-0.19%,https://www.youtube.com/watch?v=24Ca5PoINOE
51,49,GOZALO (Ultra Slowed),Ariis,8,1571812,-0.16%,https://www.youtube.com/watch?v=GkqzojRVtGo
52,57,Estrela (Ao Vivo),Rey Vaqueiro & Zé Vaqueiro,15,1555553,-0.08%,https://www.youtube.com/watch?v=BpayGeuxgBM
53,62,Pilota,Void,4,1548259,-0.02%,https://www.youtube.com/watch?v=I8djDExYcAA
54,36,Dally (feat. Maneirinho Do Recife Mc Balakinha & Biel Xcamoso),Shevchenko e Elloco,19,1503612,-0.38%,https://www.youtube.com/watch?v=K6thL9Pz3gA
55,52,Saudade do Carai,Mari Fernandez & Grelo & Natanzinho Lima,14,1484396,-0.19%,https://www.youtube.com/watch?v=yc4j-pIq20M
56,63,Não Me Faça Chorar (Ao Vivo),Priscila Senna & Pablo,8,1474229,-0.06%,https://www.youtube.com/watch?v=tfiHm1cbxe4
57,76,MONTAGEM REBOLA,ATLXS & DJ FKU,8,1464789,0.06%,https://www.youtube.com/watch?v=0Ib0ZtLILys
58,47,Treme o Bumbum,MC Leléto,8,1442152,-0.24%,https://www.youtube.com/watch?v=U6rK_v1il90
59,70,Cheiro De Culpado (Ao Vivo),Júnior e Cézar,9,1389396,-0.06%,https://www.youtube.com/watch?v=gWYIo3l1oQ4
60,n/a,MATADORA,DJ Asul,1,1373163,n/a,https://www.youtube.com/watch?v=9jSq99uN7q0
61,56,Ela Sai de Provocação,MC Don Juan & Boladin 211 & Dj Felipe Maia & Dj Kaioken,9,1338799,-0.23%,https://www.youtube.com/watch?v=XFo7RaOhpHw
62,74,Calcinha de Renda (Ao Vivo),Panda & Gusttavo Lima & MJ Records,7,1330909,-0.07%,https://www.youtube.com/watch?v=GVSS3lh_lCY
63,65,Baile do VJ,Eduardinho dos Teclados,3,1326688,-0.13%,https://www.youtube.com/watch?v=sgT8g3IwPTE
64,72,Caos De Alguém (Ao Vivo),Felipe & Rodrigo,12,1288659,-0.11%,https://www.youtube.com/watch?v=cdrEO7pIQXk
65,80,Nome Proibido,Rey Vaqueiro,5,1267361,-0.06%,https://www.youtube.com/watch?v=5yrZab1iEXA
66,78,Se Eu Te Perdoar,Netto Brito,7,1257013,-0.09%,https://www.youtube.com/watch?v=qsVG64XB1PY
67,73,Vaqueirão (Ao Vivo),Manim Vaqueiro & Talita Mel,8,1239390,-0.14%,https://www.youtube.com/watch?v=9L-VsOwhlXY
68,90,Quem Ama Sempre Entende (Ao Vivo),Henrique & Juliano,7,1237141,-0.01%,https://www.youtube.com/watch?v=OzDkgc9bVhQ
69,84,Treme o Popozão,MC Leléto & Leléto Records,5,1228335,-0.05%,https://www.youtube.com/watch?v=-gyG8PWHa9k
70,94,Me Refaz (Ao Vivo),Ministério Pra Tua Glória,12,1227498,0.05%,https://www.youtube.com/watch?v=lI8OpUT3NmQ
71,n/a,É Tudo Sobre Você / Ser Mudado (Ao Vivo),MORADA,7,1214434,n/a,https://www.youtube.com/watch?v=UnEd_pFGWGw
72,32,CARNAVAL,Marina Sena,3,1206274,-0.55%,https://www.youtube.com/watch?v=jX-Bb5ATnUc
73,59,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco(Live),Filho do Piseiro & Claudio Ney & Juliana,2,1202002,-0.28%,https://www.youtube.com/watch?v=0692WFAqRxs
74,41,Vagabundo,Gusttavo Lima & Luis Fonsi,20,1170206,-0.48%,https://www.youtube.com/watch?v=aaLYhwadeE0
75,51,Pipoca,Emilly Vick & Robson Abreu,5,1165053,-0.37%,https://www.youtube.com/watch?v=URaYG2qG30U
76,87,The Fate of Ophelia,Taylor Swift,18,1162072,-0.1%,https://www.youtube.com/watch?v=ko70cExuzZM
77,88,P.I.T.T.Y. (Parecendo Uma Cafetina),NandaTsunami & Stick & Bvga Beatz & Torelli,5,1146107,-0.09%,https://www.youtube.com/watch?v=LcldH2JNN8U
78,55,GOSTOSIN,Anitta & Felipe Amorim & HITMAKER,7,1144234,-0.34%,https://www.youtube.com/watch?v=w6nNddTCzTM
79,81,Sua Vez de Terminar (Ao Vivo),Toque Dez,9,1125839,-0.15%,https://www.youtube.com/watch?v=IEDvym28mlA
80,66,2026,MC Tuto & Dj Oreia,9,1120307,-0.26%,https://www.youtube.com/watch?v=lsTfgv6JkDs
81,75,Biometria,Netto Brito,15,1107994,-0.2%,https://www.youtube.com/watch?v=bS9r47RA_To
82,69,Eu Vou Cuspir,DJ YAN MARIOTO & Mc Marlon Ph & BIG MC,4,1101795,-0.26%,https://www.youtube.com/watch?v=7YYd6g-ESlk
83,86,DtMF,Bad Bunny,3,1091092,-0.15%,https://www.youtube.com/watch?v=v9T_MGfzq7I
84,71,Fazer Macete,Afinho do Fluxo & Arthurzinho batedeira & MC Cauazim & Mc Fininho Da RC & Mc Nick,9,1070547,-0.26%,https://www.youtube.com/watch?v=-yoUW90xZck
85,77,Montagem Miau (Ultra Slowed),Lenar,11,1070344,-0.23%,n/a
86,n/a,Foi por Conveniência,Marília Mendonça,10,1070005,n/a,https://www.youtube.com/watch?v=Dt13Wv6Opeo
87,61,Alô Virgínia (Ao Vivo),Grupo Chocolate & Turma do Pagode,11,1060140,-0.33%,https://www.youtube.com/watch?v=ylPlxGTCejQ
88,n/a,Imprevisto,Yago Oproprio & Skeeter Beats & Rô Rosa,12,1059957,n/a,https://www.youtube.com/watch?v=EbVV9FDxM4c
89,89,Passinho do Japonês,MC Loma e as Gêmeas Lacração,6,1056396,-0.16%,https://www.youtube.com/watch?v=TPjefAA7TlA
90,n/a,Eu Vou Fazer (Ao Vivo),Kailane Frauches,6,1046637,n/a,https://www.youtube.com/watch?v=w2pP1DYZSTg
91,85,Raparigas,Filho do Piseiro,2,1035710,-0.2%,https://www.youtube.com/watch?v=FvNmjVQwE0o
92,83,Zoo,Shakira,11,1033421,-0.21%,https://www.youtube.com/watch?v=Kw3935PH01E
93,79,O Vovô Não Ta Casado,Biurifol & Dj Emige & B7 City,2,1027223,-0.25%,https://www.youtube.com/watch?v=0iQ5jNnLySo
94,n/a,Dois Gumes (Ao Vivo),Felipe & Rodrigo,1,1016755,n/a,https://www.youtube.com/watch?v=MuJJm9kqopk
95,n/a,Pedido De Socorro (Ao Vivo),Gustavo Mioto,7,1012496,n/a,https://www.youtube.com/watch?v=Hv53XBYeK7E
96,n/a,Sweet Child O' Mine,Guns N' Roses,5,1004526,n/a,https://www.youtube.com/watch?v=1w7OgIMMRc4
97,100,Lua Cheia,Marina Sena,5,998927,-0.12%,https://www.youtube.com/watch?v=q0u47Nl7N7M
98,n/a,IMPERFEITO,Seven Plus & Rayssa Andreoli,9,997659,n/a,https://www.youtube.com/watch?v=GneZr6ZXcnE
99,97,VOCE NA MIRA (Slowed),Hwungii & DJ VGK1,8,989951,-0.15%,https://www.youtube.com/watch?v=B091oc37QeY
100,n/a,Ritmo Lilly Wood,dj mtn & DJ ML ORIGINAL & DJ LKC ORIGINAL & MC Star RJ & FreesTyle Sounds,2,989448,n/a,https://www.youtube.com/watch?v=iDBPrs9YGHg
