Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,14,9616820,-0.01%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,20,9520092,0.02%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,3,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,9,8551296,0.02%,https://www.youtube.com/watch?v=hToGSAFPwds
4,5,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,7,6829473,0.1%,https://www.youtube.com/watch?v=rIuKKV06CZA
5,4,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,25,6547131,-0.03%,https://www.youtube.com/watch?v=ztC8bM-EYOg
6,n/a,SWIM,BTS,1,5625026,n/a,https://www.youtube.com/watch?v=b4iVv91Z6lY
7,6,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,47,5053384,-0.05%,https://www.youtube.com/watch?v=eAIivxKZYZw
8,7,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,30,4761309,-0.04%,https://www.youtube.com/watch?v=_zKnEm9xPWw
9,8,Gangstar,Oruam & Chefin & Salvador Da Rima & Real Fuba,8,4425939,-0.06%,https://www.youtube.com/watch?v=GwccKjN3OWY
10,9,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,25,4339599,-0.07%,https://www.youtube.com/watch?v=tWjTNxAvlLk
11,10,Eu Me Apaixonei,Vitinho Imperador,33,4292863,0%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
12,11,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,31,3600132,-0.05%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
13,14,A Cena,Netto Brito & Pablo,4,3437670,0.03%,https://www.youtube.com/watch?v=I462VchM2lU
