Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,7,15494559,-0.01%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,3,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,13,10893217,0.15%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,2,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,18,9121594,-0.17%,https://www.youtube.com/watch?v=ztC8bM-EYOg
4,4,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,23,7361154,-0.07%,https://www.youtube.com/watch?v=_zKnEm9xPWw
5,5,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,40,6903823,-0.04%,https://www.youtube.com/watch?v=eAIivxKZYZw
6,6,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,18,6093881,-0.11%,https://www.youtube.com/watch?v=tWjTNxAvlLk
7,8,Eu Me Apaixonei,Vitinho Imperador,26,5616555,-0.09%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
8,7,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,12,5387843,-0.13%,https://www.youtube.com/watch?v=QbdcQV63c2Y
9,9,Amo Minha Favela,DJ Japa NK & MC MENO K,8,4806526,-0.03%,https://www.youtube.com/watch?v=xVxFGVNJvdY
10,10,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,24,4741143,-0.02%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
11,11,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,29,4409732,-0.05%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
12,12,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,19,4188549,-0.05%,https://www.youtube.com/watch?v=hQskOv9b_kg
