Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC MENO K & MC Ryan SP & MC Tuto & Mc Negão Original,25,8646807,-0.08%,https://www.youtube.com/watch?v=WQHYbOy7H2g
2,2,Famoso Ímã | O poderoso chatão,MC Lele JP & Mc Poze do Rodo & MC Leozinho ZS & Dj Gordinho da VF,5,8574132,0.04%,https://www.youtube.com/watch?v=ODijwjs8Qvc
3,3,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,14,7750581,-0.01%,https://www.youtube.com/watch?v=hToGSAFPwds
4,4,Reliquia do 2T (feat. MC Fr da Norte & Mc Dkziin),MC Vine7 & MC Tuto & MC Joãozinho VT & DJ Gu,12,6685876,0.12%,https://www.youtube.com/watch?v=rIuKKV06CZA
5,5,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,19,4989672,-0.15%,https://www.youtube.com/watch?v=7CF5qbw8zec
6,6,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,30,4977298,-0.05%,https://www.youtube.com/watch?v=ztC8bM-EYOg
7,38,Se Saudade Sentir (Se Prepara 3),Mc Livinho & MC Pedrinho & Perera Dj & DJ Jb Mix,3,4109103,1.08%,https://www.youtube.com/watch?v=LfttzDVsyqQ
8,7,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,52,3941486,-0.14%,https://www.youtube.com/watch?v=eAIivxKZYZw
9,12,Eu Me Apaixonei,Vitinho Imperador,38,3506830,-0.01%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
10,8,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & ,3,3503728,-0.13%,https://www.youtube.com/watch?v=AfJm4CtlcWA
11,10,Foi por Conveniência,Marília Mendonça,19,3427724,-0.06%,https://www.youtube.com/watch?v=Dt13Wv6Opeo
12,21,Sina de Ofélia,Heitor Santos,3,3385056,0.13%,https://www.youtube.com/watch?v=t8cSsx7WBio
13,14,Eu Te Seguro (Ao Vivo),Panda & MJ Records,27,3377185,-0.01%,https://www.youtube.com/watch?v=kI6ywewtYkc
14,13,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,35,3059771,-0.11%,https://www.youtube.com/watch?v=_zKnEm9xPWw
