artist_name,spotify_id,followers,popularity,genres,source,occurrence_count,youtube_channel_id,total_youtube_views,extraction_date,selection_criteria
DU'L,4bJqqUCbQmRxziUoxUz5mS,12585,69,brazilian funk; trap funk; funk carioca,Charts Q1 2026,25,UCCXOIfnbijS74YVl79P3vqA,700260303,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Julliany Souza,0d71FlLkqZzdpEQifcngQq,1009835,70,gospel; worship; brazilian gospel,Charts Q1 2026,26,UC52rxcnme1pYpUfRrC4WWfQ,699419479,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Lele JP,1mV9h1AwhRXSjBFcYpajgY,1648364,82,brazilian funk; funk consciente; trap funk,Charts Q1 2026,26,UCjfUxMGhqV4fQja1AJDYu6Q,684176732,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Negão Original,4LHTgACY32k94VDjenF0nP,1947991,81,brazilian funk; trap funk; funk carioca,Charts Q1 2026,26,UCuRGk7Q3-HzP036f6iCGwGg,654930776,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Grelo,1eIYP01ZLPKEExhcV6xFgt,1266450,69,seresta; arrocha; piseiro,Charts Q1 2026,26,UCf3bpNHdrwwtWxxB3Ypz_LQ,598452966,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Marina Sena,6CwfuxIqcltXDGjfZsMd9A,6299677,75,,Charts Q1 2026,23,UC2mT7quMGAx5wPsARspOGIA,505362503,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Vitinho Imperador,09djLPsTydbIFC9duW5mQp,1191648,63,pagode; samba,Charts Q1 2026,26,UC5nczbo5SMeTmAMDanQxeGA,505345831,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC Tuto,6aoGgTKGqtsjj48ymcNs4Z,2686052,79,brazilian funk; funk consciente; trap funk,Charts Q1 2026,26,UCbUNcLizJBejbGBA4vvPwAQ,467375044,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Gw,0f1IECbrVV952unZkzrsg2,1640095,79,brazilian funk; phonk; brazilian phonk,Charts Q1 2026,26,UC-cM0U6C4I-4o5AFaUZeWaw,427637892,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,4289403,74,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,22,UCE705eB9XX_25xG_iOnImUg,381123687,2026-04-18,Persistência temporal 3 meses × 2 plataformas
